source,target,cost
42,48488,415.55057
72,118,210.14891
72,295,274.50119
72,296,279.32056
72,333,10.446489
72,453,257.5415
72,456,242.56149
72,477,253.62625
72,743,356.31339
72,1396,269.23508
72,12767,246.2804
72,12768,238.76242
72,21975,260.59802
72,26654,241.90781
72,26655,247.41377
72,30622,155.78268
72,30623,89.647057
72,35138,212.78912
72,35139,310.94958
72,35316,151.3405
72,35940,245.12091
72,36282,259.00482
72,36549,245.68388
72,36622,259.24902
72,36776,248.71306
72,37119,257.96216
72,37120,242.68887
72,37121,21.019737
72,37619,223.19087
72,38487,249.80667
72,41449,217.90611
72,41450,237.17856
72,42583,229.25919
72,42584,225.44395
72,42585,341.95911
72,42586,240.99687
72,42587,234.89191
72,43670,45.909374
72,47293,319.98804
72,48913,250.72133
72,49286,21.772219
72,49546,247.73564
72,50052,99.543015
72,51035,4.7025361
72,52212,238.9184
72,52213,219.31599
72,52500,209.08015
72,53316,326.13962
72,53754,241.73134
72,53773,70.55481
72,60087,231.91989
72,60119,12.885992
73,372,291.35901
73,434,353.75769
73,440,407.20554
73,453,290.03549
73,456,280.18365
73,477,271.19241
73,740,183.11058
73,743,223.55685
73,748,238.77113
73,752,167.88512
73,755,115.38611
73,765,75.242439
73,767,215.64246
73,768,151.83511
73,1215,292.59427
73,1264,106.7882
73,1396,302.72263
73,7108,108.41309
73,12767,288.99283
73,12768,281.8396
73,12781,194.29588
73,12783,216.87401
73,12784,167.40666
73,12786,132.68942
73,20916,208.8316
73,20917,196.6925
73,20918,270.52692
73,20920,160.94814
73,20921,123.18369
73,20922,150.35936
73,21975,285.172
73,22718,122.32372
73,22719,310.77249
73,22720,186.61263
73,25880,236.90764
73,26654,281.19522
73,26655,282.80396
73,30616,296.55054
73,32670,125.57038
73,32671,110.94828
73,33898,188.87566
73,33899,188.26982
73,34828,188.75946
73,35418,202.69743
73,35419,177.82147
73,35940,300.48071
73,36282,283.26068
73,36291,155.12216
73,36549,256.29626
73,36586,6.564785
73,36587,196.33148
73,36588,207.3192
73,36589,228.89133
73,36590,230.51311
73,36591,190.3365
73,36592,185.25928
73,36593,198.45595
73,36594,304.22324
73,36595,252.72464
73,36622,286.65894
73,36699,72.975677
73,36773,122.49832
73,36776,260.11459
73,36777,201.66161
73,37119,298.31836
73,37120,280.44089
73,38487,288.94125
73,38654,137.98848
73,40878,75.004448
73,41449,291.34842
73,41450,372.24908
73,42094,71.580078
73,42583,276.37961
73,42586,257.07797
73,42587,260.05246
73,42591,177.96936
73,42592,233.90144
73,42593,113.15476
73,42594,190.03575
73,42595,115.53151
73,43051,419.07126
73,43353,250.56039
73,43651,192.49576
73,44752,188.11447
73,46011,128.63435
73,46191,190.62917
73,46193,188.09956
73,46194,198.13968
73,46195,256.66165
73,46196,212.05963
73,46197,316.28406
73,46198,222.09229
73,47291,194.15358
73,47292,216.87401
73,47293,251.91125
73,47992,118.88194
73,47994,325.01556
73,48496,294.0079
73,48497,276.61325
73,48499,185.61967
73,48913,284.61774
73,49546,278.04489
73,50047,344.61237
73,50268,194.79111
73,50646,268.98654
73,50647,253.36838
73,50648,56.454041
73,51466,126.20915
73,52207,298.60168
73,52212,331.74191
73,52213,253.54547
73,52500,246.39908
73,52681,265.60565
73,53754,260.11398
73,53759,274.13025
73,53760,405.76273
73,60087,329.42542
73,60117,332.12405
81,83,13.61921
81,84,4.1513801
81,103,234.39294
81,106,216.44838
81,108,214.6346
81,112,217.95271
81,125,213.66402
81,129,201.73183
81,131,195.51004
81,132,206.60027
81,139,76.579002
81,248,105.25031
81,448,239.46333
81,449,223.27972
81,703,171.93335
81,776,324.57376
81,778,323.59885
81,786,330.86639
81,787,313.55127
81,788,54.783173
81,7021,315.97214
81,7118,47.935043
81,7119,101.74018
81,12780,170.8472
81,18891,46.151711
81,18892,30.653475
81,18893,17.477922
81,18895,15.872922
81,18898,154.88914
81,18900,218.16522
81,18904,209.39209
81,20904,10.955392
81,20905,40.308956
81,27163,239.85915
81,27164,222.93611
81,28764,185.23007
81,30355,26.474133
81,30374,62.106651
81,32786,313.42822
81,32794,200.06654
81,32836,302.93637
81,32970,262.505
81,33134,342.89987
81,35055,217.93781
81,35309,334.98297
81,35318,177.04787
81,36296,105.06949
81,36300,144.29602
81,36301,110.70035
