Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source
HY,SunLine Transit Agency,32-505 Harry Oliver Trail,"Exit I-10 at Ramon Road, east on Ramon, east on Warner, north on Harry Oliver Trail, station on left",Thousand Palms,CA,92276,,,E,,Private,Station available for emergency fueling; contact Tommy Edwards at 760-343-3456 x312,Cash M V,,,,,,,,,,200-9,33.812361,-116.395444,7/13/20,21796,2020-07-13 20:30:49 UTC,LG,,,4/1/00,,,,,,US,,,,Privé,FALSE,private,,,FLEET_GARAGE,,,,,,,,,,"[""350""]",,,,,,
HY,University of California Irvine,19172 Jamboree Rd,,Irvine,CA,92612,,949-824-1999 x212,E,,Public - Credit card at all times,"24 hours daily; bus fueling from 10pm-2am, drivers should avoid station then",A D M V,,,,,,,,,,200-8,33.663511,-117.856388,7/13/20,27339,2020-07-13 20:30:49 UTC,SG,,,1/1/03,http://m.cafcp.org/content/uc-irvine,,,,,US,,,,Public - Carte de crédit en tout temps,TRUE,public,CREDIT_CARD_ALWAYS,,COLLEGE_CAMPUS,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,
HY,Shell - Torrance,2051 W 190th St,,Torrance,CA,90504,,877-830-8999,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,,,,,,,,,200-8,33.858556,-118.31461,6/9/20,30131,2020-06-09 16:47:26 UTC,P,,,8/21/17,http://m.cafcp.org/content/torrance,,,,,US,,,,Public - Carte de crédit en tout temps,TRUE,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,
HY,Ford Sustainable Mobility Transportation Laboratory,Miller Rd and S Dix St,West Rd and Military St.,Dearborn,MI,48120,,,E,,Private,,,,,,,,,,,,GPS,42.305644,-83.162105,6/9/20,33062,2020-06-09 16:47:26 UTC,P,,,1/1/99,,,,,,US,,,,Privé,FALSE,private,,,RESEARCH_FACILITY,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,
HY,Nuvera Corporate Headquarters,129 Concord Rd,,Billerica,MA,1821,,617-245-7590,E,,Public - Call ahead,Call 617-245-7590 to set up a fueling appointment,,,,,,,,,,,200-9,42.549221,-71.284134,1/13/20,33476,2020-01-21 18:34:38 UTC,P,,,8/11/08,,,,,,US,,,,Public - Appeler à l'avance,FALSE,public,CALL,,OFFICE_BLDG,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,
HY,Los Angeles International Airport,10400 Aviation Blvd,,Los Angeles,CA,90045,,844-692-5423,E,,Public - Credit card at all times,24 hours daily,D M V,,,,,,,,,,200-9,33.941383,-118.377866,7/13/20,33581,2020-07-13 20:30:49 UTC,P,,,12/24/18,http://m.cafcp.org/content/lax,,,,,US,,,,Public - Carte de crédit en tout temps,TRUE,public,CREDIT_CARD_ALWAYS,,AIRPORT,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,
HY,Camp Pendleton,Camp Pendleton Marine Corp Base,Carmelo Dr & Harbor Dr,Oceanside,CA,92054,,,E,,Private,,,,,,,,,,,,GPS,33.21444166,-117.3870303,2/6/19,33582,2020-01-21 18:34:38 UTC,FG,26,United States Marine Corps,1/1/06,http://cafcp.org/stations/oceanside-camp-pendleton,,,,,US,,,,Privé,FALSE,private,,USMC,MIL_BASE,,,,,,,,,,,,,,,,
HY,SunHydro - Wallingford,10 Technology Dr,,Wallingford,CT,6492,,203-949-8697,E,,Public - Call ahead,24 hours daily; customers must call station for required training before using the station or may call station for fueling assistance from 8am to 5pm,D M V,,,,,,,,,,200-9,41.490507,-72.760932,4/8/20,41135,2020-04-08 12:29:55 UTC,P,,,10/22/10,,,,,,US,,,,Public - Appeler à l'avance,TRUE,public,CALL,,OFFICE_BLDG,,,,,,,,,,"[""700""]","[""J2601""]",,,,,
HY,Applied Research Center,860 Bettis Academy Rd,Aiken Sage Mill Industrial Park,Graniteville,SC,29829,,803-215-0605,E,,Public - Call ahead,9am-5pm M-F; customers must call 803-215-0605 to set up a fueling account for monthly invoices or arrange after hours fueling,Cash,,,,,,,,,,200-9,33.622806,-81.838273,6/9/20,41136,2020-06-09 16:47:26 UTC,P,,,2/11/11,,,,,,US,,,,Public - Appeler à l'avance,FALSE,public,CALL,,STANDALONE_STATION,,,,,,,,,,"[""350""]","[""J2601""]",,,,,
HY,Messer - Emeryville,1172 45th St,,Emeryville,CA,94608,,866-384-4829,E,,Public - Credit card at all times,24 hours daily,D FleetOne FuelMan M V Voyager Wright_Exp,,,,,,,,,,GPS,37.83426758,-122.2815812,2/6/20,48407,2020-02-06 21:24:11 UTC,P,,,11/19/18,http://m.cafcp.org/content/emeryville-upgrade,,,,,US,,,,Public - Carte de crédit en tout temps,TRUE,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""700""]","[""J2601""]",,,,,
HY,Air Liquide - Research and Development Center,200 Gbc Dr,,Newark,DE,19702,,,E,,Private,,,,,,,,,,,,200-9,39.611522,-75.739514,1/13/20,60205,2020-01-21 18:34:38 UTC,P,,,1/1/07,,,,,,US,,,,Privé,FALSE,private,,,RESEARCH_FACILITY,,,,,,,,,,,,,,,,
HY,Town of Hempstead - Department of Conservation & Waterways,1401 Lido Blvd,Loop Parkway,Point Lookout,NY,11569,,,E,,Private,,,,,,,,,,,,200-8,40.592118,-73.585241,7/13/20,61099,2020-07-13 20:30:49 UTC,LG,,,10/15/09,,,,,,US,,,,Privé,FALSE,private,,,MUNI_GOV,,,,,,,,,,"[""350""]",,,,,,
HY,Honda MC Formula Station,1900 Harpers Way,,Torrance,CA,90501,,,E,,Private,,,,,,,,,,,,200-8,33.843799,-118.313324,5/9/19,61710,2020-07-14 17:47:51 UTC,P,,,5/23/18,,,,,,US,,,,Privé,FALSE,private,,,STANDALONE_STATION,,,,,,,,,,"[""700""]","[""J2601""]",,,,,
