gid,name,zip,lat,lon,geom
1,University of California Irvine,92612,33.663511,-117.856388,0101000020E6100000A4C4AEEDEDD44040F52B9D0FCF765DC0
2,Shell - Torrance,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
3,Los Angeles International Airport,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
4,SunHydro - Wallingford,6492,41.490507,-72.760932,0101000020E6100000C3BAF1EEC8BE4440B69E211CB33052C0
5,Messer - Emeryville,94608,37.83426758,-122.2815812,0101000020E6100000461BB247C9EA4240C84A276D05925EC0
6,Air Liquide - Palo Alto,94306,37.418914,-122.133104,0101000020E610000014EB54F99EB54240E0BDA3C684885EC0
7,Air Liquide - Anaheim,92806,33.855862,-117.837744,0101000020E6100000D0F1D1E28CED4040E59A02999D755DC0
8,Air Products and Chemicals Inc - Los Angeles,90036,34.076363,-118.358673,0101000020E6100000EECF4543C6094140533D997FF4965DC0
9,California State University Los Angeles - Hydrogen Research & Fueling Facility,90032,34.0621924,-118.1736142,0101000020E6100000A607AAEBF5074140C2C7BB7E1C8B5DC0
10,FirstElement - Campbell,95008,37.271941,-121.954643,0101000020E610000084B872F6CEA24240BE16F4DE187D5EC0
11,FirstElement - Coalinga,93210,36.25298,-120.239432,0101000020E610000063450DA6612042406A6798DA520F5EC0
12,FirstElement - Costa Mesa,92627,33.648692,-117.918614,0101000020E6100000A296E65608D3404075E95F92CA7A5DC0
13,FirstElement - Hayward,94541,37.666686,-122.106352,0101000020E6100000BC5983F755D542404F779E78CE865EC0
14,FirstElement - La Canada Flintridge,91011,34.200017,-118.191164,0101000020E610000070D234289A1941400B0BEE073C8C5DC0
15,FirstElement - Fremont,94538,37.52217,-121.968501,0101000020E6100000E6797077D6C242402C499EEBFB7D5EC0
16,FirstElement - Lake Forest,92630,33.661543,-117.668467,0101000020E6100000E9F2E670ADD4404023DDCF29C86A5DC0
17,FirstElement - Long Beach,90807,33.819222,-118.189733,0101000020E6100000F5143944DCE84040357EE195248C5DC0
18,FirstElement - Hollywood Blvd,90028,34.101336,-118.314034,0101000020E610000028F4FA93F80C414041F50F2219945DC0
19,FirstElement - Lincoln Blvd,90045,33.963119,-118.421458,0101000020E6100000FF93BF7B47FB4040CEA8F92AF99A5DC0
20,FirstElement - Mill Valley,94941,37.888823,-122.5179817,0101000020E61000006077BAF3C4F142404C5BB79C26A15EC0
21,FirstElement - Thousand Oaks,91362,34.168683,-118.835986,0101000020E610000012329067971541407D7A6CCB80B55DC0
22,FirstElement - Del Mar,92130,32.933578,-117.240016,0101000020E6100000EE21E17B7F77404012A1116C5C4F5DC0
23,FirstElement - San Jose,95131,37.37326,-121.918838,0101000020E6100000D673D2FBC6AF42409C14E63DCE7A5EC0
24,FirstElement - Santa Barbara,93105,34.438155,-119.751005,0101000020E610000019CA8976153841407B88467710F05DC0
25,FirstElement - Saratoga,95070,37.284189,-121.999331,0101000020E610000004711E4E60A4424041B8020AF57F5EC0
26,FirstElement - South Pasadena,91030,34.111868,-118.149849,0101000020E610000006BCCCB0510E4140A795422097895DC0
27,FirstElement - South San Francisco,94080,37.647933,-122.406006,0101000020E6100000E57FF277EFD24240B5FE9600FC995EC0
28,FirstElement - Truckee,96161,39.324902,-120.223537,0101000020E6100000D733846396A943408A1C226E4E0E5EC0
29,Air Products and Chemicals Inc - Lawndale,90260,33.889394,-118.360962,0101000020E61000001BA19FA9D7F1404052465C001A975DC0
30,Iwatani - San Ramon,94583,37.771711,-121.971556,0101000020E6100000537B116DC7E24240E38E37F92D7E5EC0
31,Iwatani - Mountain View,94043,37.405137,-122.067089,0101000020E610000025B37A87DBB34240F73AA92F4B845EC0
32,Iwatani - San Juan Capistrano,92675,33.519722,-117.66697,0101000020E61000008081204086C24040715AF0A2AF6A5DC0
33,Air Products and Chemicals Inc - Santa Monica,90404,34.025325,-118.469612,0101000020E6100000B7627FD93D034140C9737D1F0E9E5DC0
