Station Name,Street Address,City,State,ZIP,Station Phone,Access Code,Groups With Access Code,Latitude,Longitude,ID
PS Energy - Atlanta,340 Whitehall St,Atlanta,GA,30303,770-350-3000,public,Public - Card key at all times,33.745843,-84.398837,42
Clean Energy - Texas Department of Transportation,7721A Washington St,Houston,TX,77007,866-809-4869,public,Public - Credit card at all times,29.779918,-95.435385,72
Arkansas Oklahoma Gas Corp,2100 S Waldron Rd,Fort Smith,AR,72903,479-783-3188,public,Public - Credit card at all times,35.362213,-94.375338,73
Clean Energy - Logan International Airport,1000 Cottage St Ext,East Boston,MA,2128,866-809-4869,public,Public - Credit card at all times,42.37470555,-71.02654861,81
Clean Energy - Everett - National Grid,12 Rover St,Everett,MA,2149,866-809-4869,public,Public - Credit card at all times,42.393167,-71.064352,84
Clean Energy - Greenpoint - National Grid,287 Maspeth Ave,Brooklyn,NY,11211,866-809-4869,public,Public - Credit card at all times,40.718037,-73.932309,108
Clean Energy - Canarsie - National Grid,8424 Ditmas Ave,Brooklyn,NY,11236,866-809-4869,public,Public - Credit card at all times,40.64554,-73.918344,112
Con Edison - W 29th St Service Center,281 11th Ave,New York,NY,10001,212-643-3054,public,Public - Card key at all times,40.752903,-74.005831,124
Con Edison - E 16th St Service Center,700 E 16th St,New York,NY,10009,212-460-6708,public,Public - Card key at all times,40.729175,-73.97331,125
Con Edison - Van Nest Service Center,1615 Bronxdale Ave,Bronx,NY,10462,718-904-4504,public,Public - Card key at all times,40.8441883,-73.8615724,129
Con Edison - College Point Service Center,124-15 31st Ave,Queens,NY,11354,718-321-4608,public,Public - Card key at all times,40.769623,-73.843069,132
CNG Source Fueling - Greene's Auto & Truck Service,111 W Raymond St,Indianapolis,IN,46225,317-353-8241,public,Public - Credit card at all times,39.736169,-86.161743,147
Black Hills Energy,1301 W 24th St,Cheyenne,WY,82001,307-638-3361,public,Public - Card key at all times,41.135848,-104.830233,215
Sparq - Baton Rouge,8968 S Choctaw Dr,Baton Rouge,LA,70815,844-772-7764,public,Public - Credit card at all times,30.471166,-91.087975,296
Clean Energy - City of Santa Fe - Santa Fe Trails Transit,2931 Rufina St,Santa Fe,NM,87507,,public,Public - Credit card at all times,35.65758,-105.993406,360
Kansas Gas Service,11401 W 89th St,Overland Park,KS,66214,913-319-8600,public,Public - Credit card at all times,38.966292,-94.715917,372
Kansas Gas Service,200 E 1st Ave,Topeka,KS,66603,913-319-8600,public,Public - Credit card at all times,39.058754,-95.667854,434
Laclede Gas Co - Shrewsbury Facility,4118 Shrewsbury Ave,St. Louis,MO,63119,844-499-5682,public,Public - Card key at all times,38.598601,-90.323574,440
Clean Energy - Brentwood - National Grid,1650 Islip Ave,Brentwood,NY,11717,866-809-4869,public,Public - Credit card at all times,40.785664,-73.219818,448
Clean Energy - Hicksville - National Grid,175 E Old Country Rd,Hicksville,NY,11801,866-809-4869,public,Public - Credit card at all times,40.766799,-73.509603,449
Clean Energy - City of Irving,128 N Briery Rd,Irving,TX,75061,866-809-4869,public,Public - Credit card at all times,32.817883,-96.988716,453
Clean Energy - Downtown Dallas,801 S Riverfront Blvd,Dallas,TX,75207,866-278-3674,public,Public - Credit card at all times,32.76662,-96.807086,456
Clean Energy - Garland Independent School District,3526 Security St,Garland,TX,75042,866-809-4869,public,Public - Credit card at all times,32.89683,-96.68401,477
Questar Gas - Salt Lake City,1150 W 200 S,Salt Lake City,UT,84104,800-323-5517,public,Public - Credit card at all times,40.764976,-111.922291,528
Questar Gas - LW's Conoco,1050 W 200 N,Logan,UT,84321,435-753-7461,public,Public - Credit card at all times,41.734633,-111.861488,548
Dominion Energy - Market Express Sinclair,850 S Carbon Ave,Price,UT,84501,435-637-4002,public,Public - Credit card at all times,39.586805,-110.813433,558
Questar Gas - Chevron,1375 N Main St,Richfield,UT,84701,435-896-8352,public,Public - Credit card at all times,38.786621,-112.084147,569
X3Energy,3103 N Industrial Way,Castle Rock,CO,80104,844-304-9800,public,Public - Credit card at all times,39.407087,-104.872002,633
Clean Energy - Denver International Airport Rental Car,27700 E 78th Ave,Denver,CO,80249,866-809-4869,public,Public - Credit card at all times,39.83765605,-104.6805,648
Clean Energy - Albany - National Grid,1125 Broadway,Menands,NY,12204,866-809-4869,public,Public - Credit card at all times,42.667569,-73.739345,703
Oklahoma Natural Gas - Southside Service Center,412 SE 59th St,Oklahoma City,OK,73129,844-713-7987,public,Public - Credit card at all times,35.406042,-97.503367,740
Oklahoma Natural Gas - Southern Oklahoma Development Association,1995 Veterans Blvd,Ardmore,OK,73401,844-713-7987,public,Public - Credit card at all times,34.185103,-97.107574,743
Oklahoma Natural Gas - Enid Service Center,421 S Garland Rd,Enid,OK,73703,844-713-7987,public,Public - Credit card at all times,36.393246,-97.942055,748
EZ Go #53,Mile 178 Turner Turnpike,Stroud,OK,74079,918-968-2208,public,Public,35.751753,-96.689896,752
Oklahoma Natural Gas - Tulsa Service Center,5848 E 15th St,Tulsa,OK,74112,844-713-7987,public,Public - Credit card at all times,36.13876,-95.911286,755
Oklahoma Natural Gas - Muskogee Service Center,2616 Border Ave,Muskogee,OK,74401,844-713-7987,public,Public - Credit card at all times,35.740689,-95.396141,765
Oklahoma Natural Gas - Ponca City Service Center,2205 N Ash St,Ponca City,OK,74601,844-713-7987,public,Public - Credit card at all times,36.730008,-97.093765,767
Oklahoma Natural Gas - Shawnee Service Center,1444 N Kickapoo St,Shawnee,OK,74801,844-713-7987,public,Public - Credit card at all times,35.346744,-96.930096,768
Clean Energy - Plymouth,680 Ridge Pike,Plymouth Meeting,PA,19462,866-809-4869,public,Public - Credit card at all times,40.080572,-75.252389,787
PG&E - Grass Valley Service Center,788 Taylorville Rd,Grass Valley,CA,95949,800-684-4648,public,Public - Card key at all times,39.20062,-121.062126,792
United Parcel Service,4500 Norris Canyon Rd,San Ramon,CA,94583,800-920-1166,public,Public - Credit card at all times,37.773172,-121.968239,797
