Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source
CNG,Alagasco - Montgomery Operations Center,2951 Chestnut St,,Montgomery,AL,36107,,,E,,Private,,,,B,3600,,,,,,,200-9,32.367916,-86.267021,4/8/19,17,2020-03-27 20:42:38 UTC,T,,,12/1/10,,MD,,,,US,,,,Privé,,private,,,STANDALONE_STATION,,,,,,,,,,,,B,3600,MD,,
CNG,PS Energy - Atlanta,340 Whitehall St,"From I-7585 N, exit 91 to Central Ave, left on Memorial, left on Whitehall, and the station is on the left",Atlanta,GA,30303,,770-350-3000,E,,Public - Card key at all times,24 hours daily,Comdata FleetOne FuelMan Voyager Wright_Exp,,Q,3600,,,,,,,200-8,33.745843,-84.398837,9/9/19,42,2020-01-21 18:34:38 UTC,P,,,7/15/94,,MD,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,STANDALONE_STATION,1,,30,,,,,,,,,Q,3600,MD,,
CNG,Metropolitan Atlanta Rapid Transit Authority,2424 Piedmont Rd NE,,Atlanta,GA,30324,,,E,,Private - Government only,,,,Q,3000,,,,,,,200-8,33.821911,-84.367461,3/3/20,45,2020-03-03 21:13:47 UTC,LG,,,12/15/96,,LD,,,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,FLEET_GARAGE,,,30,,,,,,,,,Q,3000,LD,,
CNG,United Parcel Service,270 Marvin Miller Dr,,Atlanta,GA,30336,,,E,,Private,,,,B,3600,,,,,,,200-9,33.760256,-84.543822,3/3/20,64,2020-03-03 21:13:47 UTC,P,,,1/1/97,,HD,,,,US,,,,Privé,,private,,,STANDALONE_STATION,,,,,,,,,,,,B,3600,HD,,
CNG,Clean Energy - Texas Department of Transportation,7721A Washington St,"I-10, Washington Ave exit, 1.5 blocks to the station on the left",Houston,TX,77007,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,CleanEnergy D FuelMan M V Voyager Wright_Exp,,Q,3000 3600,,,,,,,200-9,29.779918,-95.435385,6/6/19,72,2020-01-21 18:34:38 UTC,P,,,12/15/96,,MD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,STATE_GOV,2,,420,,,,,,,,,Q,3000 3600,MD,,
CNG,Arkansas Oklahoma Gas Corp,2100 S Waldron Rd,,Fort Smith,AR,72903,,479-783-3188,E,,Public - Credit card at all times,24 hours daily,FuelMan M V Wright_Exp,,Q,3600,,,,,,,200-9,35.362213,-94.375338,3/3/20,73,2020-03-03 21:13:47 UTC,T,,,1/1/97,,MD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,UTILITY,1,,250,57855,,,,,,,,Q,3600,MD,,
CNG,Clean Energy - Logan International Airport,1000 Cottage St Ext,"From Route 1, take the first exit after Callahan Tunnel. Located near the Massachusetts State Police Troop F building on Service Rd.",East Boston,MA,2128,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,CleanEnergy D FuelMan M V Voyager Wright_Exp,,Q,3000 3600,,,,,,,GPS,42.37470555,-71.02654861,12/12/19,81,2020-03-03 20:57:52 UTC,SG,,,11/15/96,,MD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,AIRPORT,4,,850,,,,,,,,,Q,3000 3600,MD,,
CNG,Clean Energy - West Roxbury - National Grid,201 Rivermoor St,,West Roxbury,MA,2132,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,CleanEnergy D FleetOne FuelMan M V Voyager Wright_Exp,,Q,3000 3600,,,,,,,200-9,42.279048,-71.182767,12/12/19,83,2020-01-21 18:34:38 UTC,T,,,11/15/96,,MD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,1,,,,,,,,,,,Q,3000 3600,MD,,
CNG,Clean Energy - Everett - National Grid,12 Rover St,"Rt 16, exit to Rt 99, to Dexter St to Rover. Or Rt 99 to Robin St, to Rover St",Everett,MA,2149,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,CleanEnergy D FleetOne FuelMan M V Voyager Wright_Exp,,Q,3000 3600,,,,,,,200-8,42.393167,-71.064352,12/12/19,84,2020-01-21 18:34:38 UTC,T,,,11/15/96,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,1,,425,,,,,,,,,Q,3000 3600,HD,,
CNG,Clean Energy - Greenpoint - National Grid,287 Maspeth Ave,"I-278/Brooklyn Queens Expy, exit onto Vandervoort Ave S, left onto Maspeth Ave, and the station is on the left",Brooklyn,NY,11211,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,CleanEnergy D FuelMan M V Voyager Wright_Exp,,Q,3000 3600,,,,,,,200-8,40.718037,-73.932309,5/9/19,108,2020-01-21 18:34:38 UTC,T,,,7/15/16,,MD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,UTILITY,1,,1200,,,,,,,,,Q,3000 3600,MD,,
