source,target,cost
42,39655,243.58
42,64847,196.32
42,44840,112.23
42,75846,210.73
42,53627,36.79
42,36306,22.28
42,62603,239.35
42,51876,149.97
42,53761,227.64
42,897,149.95
42,65769,11.97
42,34315,244.79
42,64707,103.71
42,44841,200.23
42,51479,170.48
42,64019,208.76
42,36304,14.96
42,81768,288.08
42,65436,159.14
42,52202,103.42
42,60213,8.76
42,47236,278.29
42,28133,199.4
42,47295,165.02
42,64203,246.9
42,65417,119.92
42,64207,116.41
42,48005,202
42,49282,230.89
42,33716,10.91
42,52686,10.94
42,51621,158.05
42,53619,193.01
42,36303,4.95
42,64229,18.73
42,86009,258.86
42,62538,258.02
42,49545,248.26
42,61864,173.42
42,44846,267.42
42,87011,446.01
42,62910,386.62
42,64208,387.75
42,51875,318.2
42,62907,437.12
42,69128,397.63
42,39189,436.52
42,52994,367.61
42,91913,368.74
42,53760,387.41
42,61682,411.51
42,88505,355.87
42,48488,414.48
42,48006,387.88
42,53753,478.21
42,42090,317.26
42,907,411.76
42,1215,379.47
42,64516,379.53
42,66737,397.22
42,65766,436.64
42,50048,320.01
72,46195,436.08
72,768,466.74
72,78148,426.56
72,12783,388.54
72,743,356.15
72,46194,425.5
72,53642,422.49
72,53629,337.77
72,22719,436.66
72,43651,431.89
72,60257,408.84
72,47292,388.52
72,64213,475.09
72,66683,453.7
72,47293,319.59
72,52499,27.9
72,60261,253.72
72,52500,215.34
72,86108,219.69
72,60119,14.63
72,30622,156.01
72,36549,265.06
72,68027,184.53
72,47301,51.19
72,51035,4.67
72,61388,182.17
72,62454,296.19
72,36622,258.78
72,38487,249.12
72,65552,272.46
72,63757,153.65
72,68600,196.13
72,61167,253.86
72,62106,202.91
72,35316,151.71
72,69824,177.82
72,456,243.09
72,41450,237.7
72,68443,115.58
72,49286,21.82
72,50055,29.66
72,52503,201.7
72,53641,38.47
72,42584,225.58
72,60260,268.41
72,85912,16.58
72,65522,185.41
72,53775,18.32
73,743,237.5
73,477,274.62
73,61853,323.06
73,40878,96.54
73,61118,285.61
