source,target,cost
42,39655,392.0061143
42,64847,315.9513133
42,44840,180.6221228
42,75846,339.1314732
42,53627,59.20369519
42,36306,35.85278816
42,62603,385.1888895
42,51876,241.3598271
42,53761,366.3453021
42,897,241.3161553
42,65769,19.25604262
42,34315,393.9587254
42,64707,166.9015801
42,44841,322.2400566
42,51479,274.3598465
42,64019,335.9723125
42,36304,24.06602499
42,81768,463.6165517
42,65436,256.108256
42,52202,166.4419678
42,60213,14.08710942
42,47236,447.8677487
42,28133,320.9108403
42,47295,265.578301
42,64203,397.3394692
42,65417,192.985268
42,64207,187.3466425
42,48005,325.0938568
42,49282,371.5916335
42,33716,17.55797048
42,52686,17.61392675
42,51621,254.3562787
42,53619,310.6187605
42,36303,7.957025417
42,64229,30.15385946
42,86009,416.5988038
42,62538,415.2484906
42,49545,399.5348686
42,61864,279.0984108
42,44846,430.3702945
42,87011,717.7887312
42,62910,622.2118665
42,64208,624.0233012
42,51875,512.0869994
42,62907,703.4705647
42,69128,639.9258634
42,39189,702.5093044
42,52994,591.611764
42,91913,593.4292629
42,53760,623.466464
42,61682,662.2594519
42,88505,572.724368
42,48488,667.0526404
42,48006,624.2262773
42,53753,769.5997819
42,42090,510.5832944
42,907,662.6571402
42,1215,610.7000959
42,64516,610.799552
42,66737,639.2714447
42,65766,702.7107859
42,50048,514.9982443
72,46195,701.8073622
72,768,751.1391833
72,78148,686.4924927
72,12783,625.2878369
72,743,573.1686922
72,46194,684.7788778
72,53642,679.9329414
72,53629,543.5904936
72,22719,702.7397688
72,43651,695.0554829
72,60257,657.9653938
72,47292,625.2680432
72,64213,764.5796973
72,66683,730.1649723
72,47293,514.3277504
72,52499,44.89593898
72,60261,408.3187619
72,52500,346.5625965
72,86108,353.5524149
72,60119,23.54821689
72,30622,251.0723961
72,36549,426.5788221
72,68027,296.9778949
72,47301,82.37790828
72,51035,7.521504086
72,61388,293.1683759
72,62454,476.6847415
72,36622,416.4636002
72,38487,400.9246089
72,65552,438.4864953
72,63757,247.2729434
72,68600,315.6385886
72,61167,408.5499854
72,62106,326.5472193
72,35316,244.1604989
72,69824,286.1780953
72,456,391.2244517
72,41450,382.5392279
72,68443,186.0065202
72,49286,35.10785541
72,50055,47.74230116
72,52503,324.6027973
72,53641,61.91440222
72,42584,363.028544
72,60260,431.9749602
72,85912,26.68326693
72,65522,298.3912134
72,53775,29.47852422
73,743,382.2239646
73,477,441.9554384
73,61853,519.9206006
73,40878,155.3650099
73,61118,459.6401279
73,12786,211.170383
73,52497,507.3013952
73,63276,492.0340255
73,36591,306.8894735
73,78255,338.4357269
73,46198,357.9840543
73,44752,303.5513547
73,47291,313.2416058
73,63278,470.6748606
73,1264,171.2639767
73,20916,336.4885729
73,41449,475.3247525
73,75900,339.222853
73,36589,375.7704895
73,63665,343.9392847
73,20918,435.7412996
73,87827,357.1747541
73,88383,537.8342052
73,52502,463.4960084
73,60117,577.7700927
73,47992,191.5574192
73,62065,311.218785
73,64938,281.7588233
73,52501,271.7074458
73,61167,504.8053776
73,69156,299.6425108
73,20917,317.1261542
73,46193,303.2824085
73,43651,310.1166088
73,97026,197.8254329
73,75638,309.6458237
73,36777,323.9409593
73,52211,469.3368065
73,62106,445.1620707
73,47292,376.5457189
73,25880,382.0429676
73,62313,316.9126243
73,60260,490.1972609
73,1215,471.6519389
73,60087,539.7762794
73,36549,413.0910079
73,35418,326.7822531
73,64208,454.0809646
73,12784,269.9160117
