name,address,city,zip,lat,lon,id,geog
PS Energy - Atlanta,340 Whitehall St,Atlanta,30303,33.745843,-84.398837,42,0101000020E6100000D3DB9F8B861955C0AB798EC877DF4040
Clean Energy - Texas Department of Transportation,7721A Washington St,Houston,77007,29.779918,-95.435385,72,0101000020E6100000D00A0C59DDDB57C0CD8FBFB4A8C73D40
Arkansas Oklahoma Gas Corp,2100 S Waldron Rd,Fort Smith,72903,35.362213,-94.375338,73,0101000020E61000008CBCAC89059857C0D097DEFE5CAE4140
Clean Energy - Logan International Airport,1000 Cottage St Ext,East Boston,2128,42.37470555,-71.02654861,81,0101000020E610000013EDF0F8B2C151C09A70F959F62F4540
Clean Energy - Everett - National Grid,12 Rover St,Everett,2149,42.393167,-71.064352,84,0101000020E6100000A9DBD9571EC451C0E76ED74B53324540
Clean Energy - Greenpoint - National Grid,287 Maspeth Ave,Brooklyn,11211,40.718037,-73.932309,108,0101000020E61000000E315EF3AA7B52C0B328ECA2E85B4440
Clean Energy - Canarsie - National Grid,8424 Ditmas Ave,Brooklyn,11236,40.64554,-73.918344,112,0101000020E6100000959EE925C67A52C04221020EA1524440
Con Edison - W 29th St Service Center,281 11th Ave,New York,10001,40.752903,-74.005831,124,0101000020E61000006493FC885F8052C0B80721205F604440
Con Edison - E 16th St Service Center,700 E 16th St,New York,10009,40.729175,-73.97331,125,0101000020E6100000AAB706B64A7E52C0C8073D9B555D4440
Con Edison - Van Nest Service Center,1615 Bronxdale Ave,Bronx,10462,40.8441883,-73.8615724,129,0101000020E6100000B8489000247752C03A15BA5C0E6C4440
Con Edison - College Point Service Center,124-15 31st Ave,Queens,11354,40.769623,-73.843069,132,0101000020E61000005FD1ADD7F47552C0ED9FA70183624440
CNG Source Fueling - Greene's Auto & Truck Service,111 W Raymond St,Indianapolis,46225,39.736169,-86.161743,147,0101000020E6100000D8D64FFF598A55C01DAA29C93ADE4340
Black Hills Energy,1301 W 24th St,Cheyenne,82001,41.135848,-104.830233,215,0101000020E6100000D7C3978922355AC00F9D9E7763914440
Sparq - Baton Rouge,8968 S Choctaw Dr,Baton Rouge,70815,30.471166,-91.087975,296,0101000020E610000066F7E461A1C556C0B5FCC0559E783E40
Clean Energy - City of Santa Fe - Santa Fe Trails Transit,2931 Rufina St,Santa Fe,87507,35.65758,-105.993406,360,0101000020E61000009C69C2F6937F5AC07940D9942BD44140
Kansas Gas Service,11401 W 89th St,Overland Park,66214,38.966292,-94.715917,372,0101000020E6100000A1698995D1AD57C07731CD74AF7B4340
Kansas Gas Service,200 E 1st Ave,Topeka,66603,39.058754,-95.667854,434,0101000020E61000002E20B41EBEEA57C02D41464085874340
Laclede Gas Co - Shrewsbury Facility,4118 Shrewsbury Ave,St. Louis,63119,38.598601,-90.323574,440,0101000020E61000007FF5B86FB59456C02C2D23F59E4C4340
Clean Energy - Brentwood - National Grid,1650 Islip Ave,Brentwood,11717,40.785664,-73.219818,448,0101000020E61000009E44847F114E52C080D250A390644440
Clean Energy - Hicksville - National Grid,175 E Old Country Rd,Hicksville,11801,40.766799,-73.509603,449,0101000020E610000062BCE6559D6052C081CD397826624440
Clean Energy - City of Irving,128 N Briery Rd,Irving,75061,32.817883,-96.988716,453,0101000020E61000000B42791F473F58C0297AE063B0684040
Clean Energy - Downtown Dallas,801 S Riverfront Blvd,Dallas,75207,32.76662,-96.807086,456,0101000020E6100000CEC3094CA73358C0D23AAA9A20624040
Clean Energy - Garland Independent School District,3526 Security St,Garland,75042,32.89683,-96.68401,477,0101000020E6100000C408E1D1C62B58C02D095053CB724040
Questar Gas - Salt Lake City,1150 W 200 S,Salt Lake City,84104,40.764976,-111.922291,528,0101000020E61000004A99D4D006FB5BC0C91CCBBBEA614440
Questar Gas - LW's Conoco,1050 W 200 N,Logan,84321,41.734633,-111.861488,548,0101000020E61000005F79909E22F75BC0FCC7427408DE4440
Dominion Energy - Market Express Sinclair,850 S Carbon Ave,Price,84501,39.586805,-110.813433,558,0101000020E61000002E1F49490FB45BC08C101E6D1CCB4340
Questar Gas - Chevron,1375 N Main St,Richfield,84701,38.786621,-112.084147,569,0101000020E61000009E4319AA62055CC064AC36FFAF644340
X3Energy,3103 N Industrial Way,Castle Rock,80104,39.407087,-104.872002,633,0101000020E6100000FB027AE1CE375AC039D0436D1BB44340
Clean Energy - Denver International Airport Rental Car,27700 E 78th Ave,Denver,80249,39.83765605,-104.6805,648,0101000020E6100000643BDF4F8D2B5AC0F5053E5038EB4340
Clean Energy - Albany - National Grid,1125 Broadway,Menands,12204,42.667569,-73.739345,703,0101000020E610000083DDB06D516F52C06669A7E672554540
Oklahoma Natural Gas - Southside Service Center,412 SE 59th St,Oklahoma City,73129,35.406042,-97.503367,740,0101000020E6100000AEB8382A376058C0B6662B2FF9B34140
Oklahoma Natural Gas - Southern Oklahoma Development Association,1995 Veterans Blvd,Ardmore,73401,34.185103,-97.107574,743,0101000020E610000098F90E7EE24658C01CB28174B1174140
Oklahoma Natural Gas - Enid Service Center,421 S Garland Rd,Enid,73703,36.393246,-97.942055,748,0101000020E610000021020EA14A7C58C033A48AE255324240
EZ Go #53,Mile 178 Turner Turnpike,Stroud,74079,35.751753,-96.689896,752,0101000020E61000000A698D41272C58C0BFD53A7139E04140
Oklahoma Natural Gas - Tulsa Service Center,5848 E 15th St,Tulsa,74112,36.13876,-95.911286,755,0101000020E61000005FD3838252FA57C019FF3EE3C2114240
Oklahoma Natural Gas - Muskogee Service Center,2616 Border Ave,Muskogee,74401,35.740689,-95.396141,765,0101000020E6100000B4E6C75F5AD957C0E4C0ABE5CEDE4140
Oklahoma Natural Gas - Ponca City Service Center,2205 N Ash St,Ponca City,74601,36.730008,-97.093765,767,0101000020E61000009B20EA3E004658C0C0E8F2E6705D4240
Oklahoma Natural Gas - Shawnee Service Center,1444 N Kickapoo St,Shawnee,74801,35.346744,-96.930096,768,0101000020E6100000FD885FB1863B58C0C80A7E1B62AC4140
Clean Energy - Plymouth,680 Ridge Pike,Plymouth Meeting,19462,40.080572,-75.252389,787,0101000020E6100000B037312427D052C0957CEC2E500A4440
PG&E - Grass Valley Service Center,788 Taylorville Rd,Grass Valley,95949,39.20062,-121.062126,792,0101000020E6100000CE8E54DFF9435EC0367689EAAD994340
United Parcel Service,4500 Norris Canyon Rd,San Ramon,94583,37.773172,-121.968239,797,0101000020E61000008DEDB5A0F77D5EC06A17D34CF7E24240
PG&E - Santa Cruz Service Center,615 7th Ave,Santa Cruz,95062,36.969267,-121.999295,798,0101000020E61000009B030473F47F5EC0C80BE9F0107C4240
PG&E - Bakersfield Service Center,4101 Wible Rd,Bakersfield,93313,35.317617,-119.039048,801,0101000020E610000059BE2EC37FC25DC0AAD381ACA7A84140
PG&E - Fresno Service Center,3754 E California Ave,Fresno,93725,36.72136,-119.761165,806,0101000020E6100000087767EDB6F05DC03F524486555C4240
PG&E - Salinas Service Center,390 Griffin St,Salinas,93901,36.67217,-121.641106,809,0101000020E61000003DD175E107695EC019ADA3AA09564240
PG&E - San Carlos Service Center,275 Industrial Way,San Carlos,94070,37.51689165,-122.2624653,810,0101000020E61000006EF5413BCC905EC0A9296E8129C24240
PG&E - San Francisco Service Center,536 Treat Ave,San Francisco,94110,37.761127,-122.41383,813,0101000020E6100000A306D3307C9A5EC0228D0A9C6CE14240
PG&E - Concord Service Center,1030 Detroit Ave,Concord,94518,37.956072,-122.028697,816,0101000020E6100000921FF12BD6815EC0874F3A9160FA4240
PG&E - Hayward Service Center,24300 Clawiter Rd,Hayward,94545,37.642339,-122.117821,818,0101000020E61000000D7217618A875EC001F9122A38D24240
PG&E - Richmond Service Center,1100 S 27th St,Richmond,94804,37.916909,-122.344036,826,0101000020E6100000632992AF04965EC03B342C465DF54240
PG&E - San Rafael Service Center,1220 Andersen Dr,San Rafael,94901,37.951236,-122.499682,827,0101000020E6100000981936CAFA9F5EC09163EB19C2F94240
PG&E - Cupertino Service Center,10900 N Blaney Ave,Cupertino,95014,37.335646,-122.021398,828,0101000020E6100000CA8CB7955E815EC04084B872F6AA4240
PG&E - Stockton Service Center,4040 West Ln,Stockton,95204,37.990624,-121.283787,832,0101000020E6100000EB01F39029525EC0FC5069C4CCFE4240
PG&E - Santa Rosa Service Center,3965 Occidental Rd,Santa Rosa,95401,38.428592,-122.766929,834,0101000020E6100000A8565F5D15B15EC0E3A9471ADC364340
PG&E - Auburn Service Center,333 Sacramento St,Auburn,95603,38.888863,-121.074465,835,0101000020E610000096ECD808C4445EC0EECF4543C6714340
PG&E - Davis Service Center,1415 2nd St,Davis,95616,38.545155,-121.731878,836,0101000020E61000005CAAD216D76E5EC01D2098A3C7454340
PG&E - Florin-Perkins Service Center,5555 Florin-Perkins Rd,Sacramento,95826,38.526151,-121.388438,842,0101000020E610000083A10E2BDC585EC0FCE07CEA58434340
City of Milton,5162 Munson Hwy,Milton,32570,30.633284,-87.041286,864,0101000020E610000017F2086EA4C255C07F1475E61EA23E40
Piedmont Natural Gas - Greenville,100 Woodruff Industrial Ln,Greenville,29607,34.829494,-82.310005,897,0101000020E61000002D26361FD79354C0361D01DC2C6A4140
PSNC Energy,2712 Discovery Dr,Raleigh,27616,35.860856,-78.594331,907,0101000020E6100000EFFFE38409A653C05E48878730EE4140
San Diego Gas and Electric - Carlsbad,602 Cannon Rd,Carlsbad,92008,33.13411446,-117.3323437,942,0101000020E610000006A2821E45555DC073CFA1A92A914040
