source,target,cost
21796,27339,109.78
21796,30131,123.11
21796,33581,130.95
21796,33582,120.49
21796,61710,124.03
21796,61967,94.14
21796,61968,124.36
21796,61970,111.81
21796,61972,456.23
21796,61973,313.49
21796,61974,108.83
21796,61976,119.32
21796,61978,103.58
21796,61979,120.1
21796,61980,121.4
21796,61981,134.38
21796,61983,156.78
21796,61984,139.19
21796,61985,456.89
21796,61986,216.09
21796,61987,458.27
21796,61988,112.47
21796,62002,126.62
21796,62017,114.2
21796,62018,130.69
21796,62022,142.55
21796,122225,264.95
21796,153941,90.66
21796,153942,108.9
27339,30131,32.8
27339,33581,40.54
27339,33582,46.6
27339,48407,415.26
27339,61710,33.72
27339,61950,401.14
27339,61967,15.75
27339,61968,51.24
27339,61970,39.74
27339,61972,384.09
27339,61973,241.35
27339,61974,5.87
27339,61975,404.21
27339,61976,61.14
27339,61977,395.44
27339,61978,16.74
27339,61979,24.36
27339,61980,47.21
27339,61981,43.81
27339,61982,437.1
27339,61983,80.31
27339,61984,67.87
27339,61985,384.75
27339,61986,139.62
27339,61987,386.12
27339,61988,43.43
27339,61989,424.1
27339,62002,36.3
27339,62011,395.62
27339,62013,395.43
27339,62015,408.77
27339,62017,17.43
27339,62018,49.67
27339,62022,66.08
27339,64018,427.01
27339,88307,423.38
27339,88308,431.7
27339,88310,423.28
27339,88315,413.41
27339,88318,433.75
27339,88320,441.75
27339,121860,415.26
27339,122225,366.74
27339,153941,28.78
27339,153942,6.68
30131,33581,8.47
30131,33582,76.98
30131,48407,384.2
30131,61710,1.47
30131,61950,370.09
30131,61967,29.42
30131,61968,21.98
30131,61970,21.87
30131,61972,353.04
30131,61973,210.29
30131,61974,30.17
30131,61975,373.15
30131,61976,30.23
30131,61977,364.38
30131,61978,47.55
30131,61979,8.67
30131,61980,21.51
30131,61981,11.74
30131,61982,406.04
30131,61983,48.25
30131,61984,98.25
30131,61985,353.7
30131,61986,107.55
30131,61987,355.06
30131,61988,25.55
30131,61989,393.05
30131,61990,495.75
30131,62002,4.23
30131,62011,364.56
30131,62013,364.37
30131,62015,377.72
30131,62017,47.8
30131,62018,17.6
30131,62022,34.01
30131,64018,395.95
30131,88307,392.33
30131,88308,400.65
30131,88310,392.23
30131,88315,382.35
30131,88318,402.7
30131,88320,410.69
30131,121860,384.2
30131,122225,386.24
30131,153941,39.31
30131,153942,27.66
33062,70260,209.65
33062,73480,68.57
33476,41135,130.89
33476,60205,357.03
33476,61099,242.98
33476,66767,21.46
33476,66848,135.3
33581,33582,84.64
33581,48407,377.15
33581,61710,9.22
33581,61950,363.04
33581,61967,36.13
33581,61968,10.86
33581,61970,23.84
33581,61972,345.99
33581,61973,203.24
33581,61974,37.83
33581,61975,366.1
33581,61976,30.32
33581,61977,357.34
33581,61978,54.25
33581,61979,16.33
33581,61980,21.6
33581,61981,3.55
33581,61982,398.99
33581,61983,41.2
33581,61984,105.91
33581,61985,346.65
33581,61986,100.5
33581,61987,348.02
33581,61988,27.52
33581,61989,386
33581,61990,488.71
33581,62002,4.35
33581,62011,357.52
33581,62013,357.33
33581,62015,370.67
33581,62017,55.46
33581,62018,10.56
33581,62022,26.97
33581,64018,388.9
33581,88307,385.28
33581,88308,393.6
33581,88310,385.18
33581,88315,375.31
33581,88318,395.65
33581,88320,403.65
33581,121860,377.15
33581,122225,392.51
33581,153941,39.38
33581,153942,35.32
33582,61710,77.67
33582,61950,445.09
33582,61967,56.69
33582,61968,95.19
33582,61970,83.69
33582,61972,428.04
33582,61973,285.3
33582,61974,49.82
33582,61976,105.09
33582,61977,439.39
33582,61978,41.5
33582,61979,68.31
33582,61980,91.16
33582,61981,87.76
33582,61983,124.26
33582,61984,22.41
33582,61985,428.7
33582,61986,183.57
33582,61987,430.07
33582,61988,87.38
33582,62002,80.25
33582,62013,439.38
33582,62017,29.25
33582,62018,93.62
33582,62022,110.03
33582,122225,384.45
33582,153941,69.75
33582,153942,50.63
41135,60205,231.34
41135,61099,114.69
41135,66767,124.73
41135,66848,45.88
48407,61710,385.01
48407,61950,39.72
48407,61967,402.36
48407,61968,368.4
48407,61970,375.58
48407,61972,49.72
48407,61973,174.73
48407,61974,411.04
48407,61975,17.24
48407,61976,368.32
48407,61977,30.69
48407,61978,420.47
48407,61979,392.94
48407,61980,366.25
48407,61981,376.14
48407,61982,22.03
48407,61983,385.55
48407,61985,41.29
48407,61986,317.29
48407,61987,50.39
48407,61988,375.34
48407,61989,19.39
48407,61990,176.11
48407,62002,380.14
48407,62011,24.33
48407,62013,41.57
48407,62015,9.07
48407,62017,428.68
48407,62018,370.71
48407,62022,367.17
48407,64018,77.11
48407,88307,9.95
48407,88308,14.22
48407,88310,9.85
48407,88315,3.22
48407,88318,86.01
48407,88320,91.06
48407,121860,0.01
48407,153941,401.37
48407,153942,408.53
60205,61099,167.06
60205,66767,348.04
60205,66848,248.34
60205,70260,431.32
61099,66767,235.72
61099,66848,136.08
61710,61950,371.47
61710,61967,30.34
61710,61968,22.9
61710,61970,22.79
61710,61972,354.42
61710,61973,211.68
61710,61974,31.07
61710,61975,374.53
61710,61976,31.16
61710,61977,365.77
61710,61978,48.45
61710,61979,9.58
61710,61980,22.43
61710,61981,13.12
61710,61982,407.42
61710,61983,49.63
61710,61984,99.16
61710,61985,355.08
61710,61986,108.93
61710,61987,356.45
61710,61988,26.47
61710,61989,394.43
61710,61990,497.14
61710,62002,5.62
61710,62011,365.95
61710,62013,365.75
61710,62015,379.1
61710,62017,48.71
61710,62018,18.99
61710,62022,35.39
61710,64018,397.34
61710,88307,393.71
61710,88308,402.03
61710,88310,393.61
61710,88315,383.73
61710,88318,404.08
61710,88320,412.08
61710,121860,385.58
61710,122225,387.16
61710,153941,40.23
61710,153942,28.56
61950,61967,384.91
61950,61968,350.95
61950,61970,358.13
61950,61972,16.78
61950,61973,157.27
61950,61974,393.59
61950,61975,23.1
61950,61976,350.87
61950,61977,20.15
61950,61978,403.03
61950,61979,375.48
61950,61980,348.79
61950,61981,358.69
61950,61982,47.9
61950,61983,368.09
61950,61985,13.36
61950,61986,289.81
61950,61987,13.56
61950,61988,357.88
61950,61989,29.29
61950,61990,222
61950,62002,362.69
61950,62011,37.74
61950,62013,4.88
61950,62015,32.15
61950,62017,411.23
61950,62018,353.26
61950,62022,349.71
61950,64018,123
61950,88307,39.45
61950,88308,36.89
61950,88310,39.49
61950,88315,37.29
61950,88318,131.89
61950,88320,136.94
61950,121860,40.35
61950,153941,383.92
61950,153942,391.08
61967,61968,38.62
61967,61970,28.42
61967,61972,372.76
61967,61973,230.02
61967,61974,17.1
61967,61975,392.87
61967,61976,47.31
61967,61977,384.11
61967,61978,21.94
61967,61979,26.92
61967,61980,35.88
61967,61981,39.2
61967,61982,425.76
61967,61983,73.13
61967,61984,78.67
61967,61985,373.42
61967,61986,132.43
61967,61987,374.79
61967,61988,32.09
61967,61989,412.77
61967,61990,515.48
61967,62002,33.23
61967,62011,384.29
61967,62013,384.1
61967,62015,397.45
61967,62017,28.22
61967,62018,44.84
61967,62022,58.89
61967,64018,415.68
61967,88307,412.05
61967,88308,420.38
61967,88310,411.95
61967,88315,402.08
61967,88318,422.43
61967,88320,430.42
61967,121860,403.92
61967,122225,358.01
61967,153941,15.29
61967,153942,17.17
61968,61970,12.94
61968,61972,337.43
61968,61973,194.69
61968,61974,48.4
61968,61975,357.55
61968,61976,19
61968,61977,348.79
61968,61978,56.84
61968,61979,26.91
61968,61980,4.36
61968,61981,13.19
61968,61982,390.44
61968,61983,35.96
61968,61984,116.49
61968,61985,338.09
61968,61986,95.26
61968,61987,339.47
61968,61988,15.97
61968,61989,377.44
61968,61990,480.16
61968,62002,14.48
61968,62011,348.97
61968,62013,348.77
61968,62015,362.12
61968,62017,66.04
61968,62018,9.41
61968,62022,21.72
61968,64018,380.35
61968,88307,376.72
61968,88308,385.05
61968,88310,376.62
61968,88315,366.75
61968,88318,387.09
61968,88320,395.1
61968,121860,368.6
61968,122225,387.86
61968,153941,34.97
61968,153942,45.89
61970,61972,344.59
61970,61973,201.85
61970,61974,37.42
61970,61975,364.7
61970,61976,12.09
61970,61977,355.94
61970,61978,46.85
61970,61979,19.34
61970,61980,10.25
61970,61981,22.9
61970,61982,397.59
61970,61983,44.96
61970,61984,105.5
61970,61985,345.25
61970,61986,104.26
61970,61987,346.62
61970,61988,5.09
61970,61989,384.6
61970,61990,487.31
61970,62002,25.77
61970,62011,356.12
61970,62013,355.93
61970,62015,369.27
61970,62017,55.05
61970,62018,19.87
61970,62022,30.72
61970,64018,387.5
61970,88307,383.88
61970,88308,392.2
61970,88310,383.78
61970,88315,373.9
61970,88318,394.25
61970,88320,402.25
61970,121860,375.75
61970,122225,375.31
61970,153941,23.57
61970,153942,34.91
61972,61973,143.38
61972,61974,379.69
61972,61975,32.96
61972,61976,336.97
61972,61977,20.39
61972,61978,389.13
61972,61979,361.58
61972,61980,334.9
61972,61981,344.79
61972,61982,61.04
61972,61983,354.19
