Station Name,Street Address,City,State,ZIP,Station Phone,Access Code,Groups With Access Code,Latitude,Longitude,ID
SunLine Transit Agency,32-505 Harry Oliver Trail,Thousand Palms,CA,92276,,private,Private,33.812361,-116.395444,21796
University of California Irvine,19172 Jamboree Rd,Irvine,CA,92612,949-824-1999 x212,public,Public - Credit card at all times,33.663511,-117.856388,27339
Shell - Torrance,2051 W 190th St,Torrance,CA,90504,877-830-8999,public,Public - Credit card at all times,33.858556,-118.31461,30131
Ford Sustainable Mobility Transportation Laboratory,Miller Rd and S Dix St,Dearborn,MI,48120,,private,Private,42.305644,-83.162105,33062
Nuvera Corporate Headquarters,129 Concord Rd,Billerica,MA,1821,617-245-7590,public,Public - Call ahead,42.549221,-71.284134,33476
Los Angeles International Airport,10400 Aviation Blvd,Los Angeles,CA,90045,844-692-5423,public,Public - Credit card at all times,33.941383,-118.377866,33581
Camp Pendleton,Camp Pendleton Marine Corp Base,Oceanside,CA,92054,,private,Private,33.21444166,-117.3870303,33582
SunHydro - Wallingford,10 Technology Dr,Wallingford,CT,6492,203-949-8697,public,Public - Call ahead,41.490507,-72.760932,41135
Applied Research Center,860 Bettis Academy Rd,Graniteville,SC,29829,803-215-0605,public,Public - Call ahead,33.622806,-81.838273,41136
Messer - Emeryville,1172 45th St,Emeryville,CA,94608,866-384-4829,public,Public - Credit card at all times,37.83426758,-122.2815812,48407
Air Liquide - Research and Development Center,200 Gbc Dr,Newark,DE,19702,,private,Private,39.611522,-75.739514,60205
Town of Hempstead - Department of Conservation & Waterways,1401 Lido Blvd,Point Lookout,NY,11569,,private,Private,40.592118,-73.585241,61099
Honda MC Formula Station,1900 Harpers Way,Torrance,CA,90501,,private,Private,33.843799,-118.313324,61710
Air Liquide - Palo Alto,3601 El Camino Real,Palo Alto,CA,94306,844-692-5423,public,Public - Credit card at all times,37.418914,-122.133104,61950
Air Liquide - Anaheim,3731 E La Palma Ave,Anaheim,CA,92806,844-692-5423,public,Public - Credit card at all times,33.855862,-117.837744,61967
Air Products and Chemicals Inc - Los Angeles,7751 Beverly Blvd,Los Angeles,CA,90036,800-224-2724,public,Public - Credit card at all times,34.076363,-118.358673,61968
California State University Los Angeles - Hydrogen Research & Fueling Facility,5151 State University Dr,Los Angeles,CA,90032,323-343-4569,public,Public - Card key at all times,34.0621924,-118.1736142,61970
FirstElement - Campbell,2855 Winchester Blvd,Campbell,CA,95008,844-878-9376,public,Public - Credit card at all times,37.271941,-121.954643,61972
FirstElement - Coalinga,24505 W Dorris Ave,Coalinga,CA,93210,844-878-9376,public,Public - Credit card at all times,36.25298,-120.239432,61973
FirstElement - Costa Mesa,2050 Harbor Blvd,Costa Mesa,CA,92627,844-878-9376,public,Public - Credit card at all times,33.648692,-117.918614,61974
FirstElement - Hayward,391 W A St,Hayward,CA,94541,844-878-9376,public,Public - Credit card at all times,37.666686,-122.106352,61975
FirstElement - La Canada Flintridge,550 Foothill Blvd,La Canada Flintridge,CA,91011,844-878-9376,public,Public - Credit card at all times,34.200017,-118.191164,61976
FirstElement - Fremont,41700 Grimmer Blvd,Fremont,CA,94538,844-878-9376,public,Public - Credit card at all times,37.52217,-121.968501,61977
FirstElement - Lake Forest,20731 Lake Forest Dr,Lake Forest,CA,92630,844-878-9376,public,Public - Credit card at all times,33.661543,-117.668467,61978
FirstElement - Long Beach,3401 Long Beach Blvd,Long Beach,CA,90807,844-878-9376,public,Public - Credit card at all times,33.819222,-118.189733,61979
FirstElement - Hollywood Blvd,5700 Hollywood Blvd,Los Angeles,CA,90028,844-878-9376,public,Public - Credit card at all times,34.101336,-118.314034,61980
FirstElement - Lincoln Blvd,8126 Lincoln Blvd,Los Angeles,CA,90045,844-878-9376,public,Public - Credit card at all times,33.963119,-118.421458,61981
FirstElement - Mill Valley,570 Redwood Hwy,Mill Valley,CA,94941,844-878-9376,public,Public - Credit card at all times,37.888823,-122.5179817,61982
FirstElement - Thousand Oaks,3102 E Thousand Oaks Blvd,Thousand Oaks,CA,91362,844-878-9376,public,Public - Credit card at all times,34.168683,-118.835986,61983
FirstElement - Del Mar,3060 Carmel Valley Rd,San Diego,CA,92130,844-878-9376,public,Public - Credit card at all times,32.933578,-117.240016,61984
FirstElement - San Jose,2101 N First St,San Jose,CA,95131,844-878-9376,public,Public - Credit card at all times,37.37326,-121.918838,61985
FirstElement - Santa Barbara,150 S La Cumbre Rd,Santa Barbara,CA,93105,844-878-9376,public,Public - Credit card at all times,34.438155,-119.751005,61986
FirstElement - Saratoga,12600 Saratoga Ave,Saratoga,CA,95070,844-878-9376,public,Public - Credit card at all times,37.284189,-121.999331,61987
FirstElement - South Pasadena,1200 Fair Oaks Ave,South Pasadena,CA,91030,844-878-9376,public,Public - Credit card at all times,34.111868,-118.149849,61988
FirstElement - South San Francisco,248 S Airport Blvd,South San Francisco,CA,94080,844-878-9376,public,Public - Credit card at all times,37.647933,-122.406006,61989
FirstElement - Truckee,12105 Donner Pass Rd,Truckee,CA,96161,844-878-9376,public,Public - Credit card at all times,39.324902,-120.223537,61990
Air Products and Chemicals Inc - Lawndale,15606 Inglewood Ave,Lawndale,CA,90260,800-224-2724,public,Public - Credit card at all times,33.889394,-118.360962,62002
Iwatani - San Ramon,4475 Norris Canyon Rd,San Ramon,CA,94583,866-384-4829,public,Public - Credit card at all times,37.771711,-121.971556,62011
Iwatani - Mountain View,830 Leong Dr,Mountain View,CA,94043,866-384-4829,public,Public - Credit card at all times,37.405137,-122.067089,62013
National Renewable Energy Laboratory - Energy Systems Integration Facility,15013 Denver West Pkwy,Golden,CO,80401,,private,Private - Government only,39.740236,-105.181918,62014
AC Transit - Oakland,1100 Seminary Ave,Oakland,CA,94621,,private,Private,37.761532,-122.204613,62015
Iwatani - San Juan Capistrano,26572 Junipero Serra Rd,San Juan Capistrano,CA,92675,949-493-8283,public,Public - Credit card at all times,33.519722,-117.66697,62017
Air Products and Chemicals Inc - Santa Monica,1819 Cloverfield Blvd,Santa Monica,CA,90404,800-224-2724,public,Public - Credit card at all times,34.025325,-118.469612,62018
Air Products and Chemicals Inc - Woodland Hills,5314 Topanga Canyon Blvd,Woodland Hills,CA,91364,800-224-2724,public,Public - Credit card at all times,34.166383,-118.605407,62022
Ramos Oil Co - Iwatani - Shell,1515 S River Rd,West Sacramento,CA,95691,916-371-2570,public,Public - Credit card at all times,38.569427,-121.521377,64018
Blue Planet Research,71-1645 Mamalahoa Hwy #2,Kailua-Kona,HI,96740,,private,Private,19.808914,-155.840915,66740
