stationname,address,City,State,zip,Lat,Lon
SunLine Transit Agency,32-505 Harry Oliver Trail,Thousand Palms,CA,92276,33.812361,-116.395444
University of California Irvine,19172 Jamboree Rd,Irvine,CA,92612,33.663511,-117.856388
Shell - Torrance,2051 W 190th St,Torrance,CA,90504,33.858556,-118.31461
Penn State University - Hydrogen Station,Penn State University - Office of Physical Plant,University Park,PA,16802,40.813419,-77.85907
Ford Sustainable Mobility Transportation Laboratory,Miller Rd and S Dix St,Dearborn,MI,48120,42.305644,-83.162105
Nuvera Corporate Headquarters,129 Concord Rd,Billerica,MA,1821,42.549221,-71.284134
Ohio State University - Center for Automotive Research,930 Kinnear Rd,Columbus,OH,43212,39.997984,-83.032838
Los Angeles International Airport,10400 Aviation Blvd,Los Angeles,CA,90045,33.941383,-118.377866
Camp Pendleton,Camp Pendleton Marine Corp Base,Oceanside,CA,92054,33.21444166,-117.3870303
H2 Frontier - Burbank,145 W Verdugo Ave,Burbank,CA,91502,34.174224,-118.310447
Gas Technology Institute - University of Texas Austin,10100 Burnet Rd,Austin,TX,78758,30.385441,-97.724939
SunHydro - Wallingford,10 Technology Dr,Wallingford,CT,6492,41.490507,-72.760932
Applied Research Center,860 Bettis Academy Rd,Graniteville,SC,29829,33.622806,-81.838273
Messer - Emeryville,1172 45th St,Emeryville,CA,94608,37.83426758,-122.2815812
Shell - Newport Beach,1600 Jamboree Rd,Newport Beach,CA,92660,33.625226,-117.878398
Air Liquide - Research and Development Center,200 Gbc Dr,Newark,DE,19702,39.611522,-75.739514
Town of Hempstead - Department of Conservation & Waterways,1401 Lido Blvd,Point Lookout,NY,11569,40.592118,-73.585241
Honda MC Formula Station,1900 Harpers Way,Torrance,CA,90501,33.843799,-118.313324
Air Liquide - Palo Alto,3601 El Camino Real,Palo Alto,CA,94306,37.418914,-122.133104
Air Liquide - Anaheim,3731 E La Palma Ave,Anaheim,CA,92806,33.855862,-117.837744
