source,target,cost
21796,27339,176.68
21796,30131,198.13
21796,33581,210.74
21796,33582,193.91
21796,61710,199.61
21796,61967,151.51
21796,61968,200.14
21796,61970,179.94
21796,61972,734.24
21796,61973,504.52
21796,61974,175.14
21796,61976,192.02
21796,61978,166.7
21796,61979,193.28
21796,61980,195.38
21796,61981,216.26
21796,61983,252.32
21796,61984,224
21796,61985,735.3
21796,61986,347.76
21796,61987,737.51
21796,61988,181.01
21796,62002,203.77
21796,62017,183.79
21796,62018,210.33
21796,62022,229.42
21796,122225,426.4
21796,153941,145.91
21796,153942,175.26
27339,30131,52.78
27339,33581,65.24
27339,33582,74.99
27339,48407,668.29
27339,61710,54.26
27339,61950,645.58
27339,61967,25.35
27339,61968,82.46
27339,61970,63.96
27339,61972,618.14
27339,61973,388.41
27339,61974,9.44
27339,61975,650.51
27339,61976,98.4
27339,61977,636.4
27339,61978,26.94
27339,61979,39.2
27339,61980,75.98
27339,61981,70.5
27339,61982,703.44
27339,61983,129.25
27339,61984,109.23
27339,61985,619.2
27339,61986,224.69
27339,61987,621.4
27339,61988,69.89
27339,61989,682.53
27339,62002,58.42
27339,62011,636.69
27339,62013,636.38
27339,62015,657.86
27339,62017,28.05
27339,62018,79.94
27339,62022,106.35
27339,64018,687.2
27339,88307,681.37
27339,88308,694.76
27339,88310,681.21
27339,88315,665.32
27339,88318,698.06
27339,88320,710.93
27339,121860,668.29
27339,122225,590.21
27339,153941,46.31
27339,153942,10.75
30131,33581,13.63
30131,33582,123.88
30131,48407,618.31
30131,61710,2.37
30131,61950,595.6
30131,61967,47.34
30131,61968,35.38
30131,61970,35.2
30131,61972,568.16
30131,61973,338.43
30131,61974,48.55
30131,61975,600.52
30131,61976,48.65
30131,61977,586.42
30131,61978,76.52
30131,61979,13.95
30131,61980,34.62
30131,61981,18.89
30131,61982,653.46
30131,61983,77.65
30131,61984,158.12
30131,61985,569.22
30131,61986,173.08
30131,61987,571.42
30131,61988,41.12
30131,61989,632.55
30131,61990,797.84
30131,62002,6.81
30131,62011,586.71
30131,62013,586.4
30131,62015,607.88
30131,62017,76.93
30131,62018,28.33
30131,62022,54.74
30131,64018,637.22
30131,88307,631.39
30131,88308,644.78
30131,88310,631.23
30131,88315,615.34
30131,88318,648.08
30131,88320,660.95
30131,121860,618.31
30131,122225,621.59
30131,153941,63.26
30131,153942,44.51
33062,70260,337.4
33062,73480,110.35
33476,41135,210.64
33476,60205,574.59
33476,61099,391.04
33476,66767,34.53
33476,66848,217.74
33581,33582,136.21
33581,48407,606.97
33581,61710,14.84
33581,61950,584.26
33581,61967,58.15
33581,61968,17.47
33581,61970,38.37
33581,61972,556.82
33581,61973,327.09
33581,61974,60.88
33581,61975,589.18
33581,61976,48.79
33581,61977,575.08
33581,61978,87.3
33581,61979,26.28
33581,61980,34.76
33581,61981,5.72
33581,61982,642.12
33581,61983,66.31
33581,61984,170.45
33581,61985,557.88
33581,61986,161.74
33581,61987,560.08
33581,61988,44.29
33581,61989,621.21
33581,61990,786.5
33581,62002,7
33581,62011,575.37
33581,62013,575.06
33581,62015,596.54
33581,62017,89.26
33581,62018,16.99
33581,62022,43.4
33581,64018,625.88
33581,88307,620.05
33581,88308,633.44
33581,88310,619.89
33581,88315,604
33581,88318,636.74
33581,88320,649.61
33581,121860,606.97
33581,122225,631.69
33581,153941,63.38
33581,153942,56.84
33582,61710,124.99
33582,61950,716.31
33582,61967,91.24
33582,61968,153.19
33582,61970,134.69
33582,61972,688.87
33582,61973,459.14
33582,61974,80.17
33582,61976,169.13
33582,61977,707.13
33582,61978,66.78
33582,61979,109.93
33582,61980,146.71
33582,61981,141.23
33582,61983,199.98
33582,61984,36.07
33582,61985,689.93
33582,61986,295.42
33582,61987,692.13
33582,61988,140.62
33582,62002,129.15
33582,62013,707.11
33582,62017,47.08
33582,62018,150.67
33582,62022,177.07
33582,122225,618.72
33582,153941,112.26
33582,153942,81.48
41135,60205,372.3
41135,61099,184.57
41135,66767,200.74
41135,66848,73.83
48407,61710,619.61
48407,61950,63.92
48407,61967,647.53
48407,61968,592.89
48407,61970,604.44
48407,61972,80.02
48407,61973,281.2
48407,61974,661.51
48407,61975,27.74
48407,61976,592.76
48407,61977,49.39
48407,61978,676.69
48407,61979,632.37
48407,61980,589.42
48407,61981,605.34
48407,61982,35.45
48407,61983,620.48
48407,61985,66.45
48407,61986,510.63
48407,61987,81.09
48407,61988,604.05
48407,61989,31.2
48407,61990,283.43
48407,62002,611.78
48407,62011,39.15
48407,62013,66.9
48407,62015,14.59
48407,62017,689.89
48407,62018,596.6
48407,62022,590.9
48407,64018,124.1
48407,88307,16.02
48407,88308,22.89
48407,88310,15.85
48407,88315,5.19
48407,88318,138.42
48407,88320,146.54
48407,121860,0.01
48407,153941,645.94
48407,153942,657.47
60205,61099,268.85
60205,66767,560.12
60205,66848,399.67
60205,70260,694.15
61099,66767,379.36
61099,66848,219
61710,61950,597.83
61710,61967,48.82
61710,61968,36.86
61710,61970,36.68
61710,61972,570.38
61710,61973,340.66
61710,61974,50.01
61710,61975,602.75
61710,61976,50.14
61710,61977,588.65
61710,61978,77.98
61710,61979,15.41
61710,61980,36.1
61710,61981,21.12
61710,61982,655.68
61710,61983,79.87
61710,61984,159.58
61710,61985,571.44
61710,61986,175.31
61710,61987,573.65
61710,61988,42.6
61710,61989,634.77
61710,61990,800.07
61710,62002,9.04
61710,62011,588.94
61710,62013,588.62
61710,62015,610.11
61710,62017,78.39
61710,62018,30.56
61710,62022,56.96
61710,64018,639.45
61710,88307,633.61
61710,88308,647.01
61710,88310,633.45
61710,88315,617.56
61710,88318,650.3
61710,88320,663.18
61710,121860,620.53
61710,122225,623.07
61710,153941,64.74
61710,153942,45.97
61950,61967,619.45
61950,61968,564.8
61950,61970,576.35
61950,61972,27.01
61950,61973,253.11
61950,61974,633.42
61950,61975,37.17
61950,61976,564.67
61950,61977,32.43
61950,61978,648.61
61950,61979,604.28
61950,61980,561.33
61950,61981,577.25
61950,61982,77.09
61950,61983,592.39
61950,61985,21.5
61950,61986,466.41
61950,61987,21.83
61950,61988,575.96
61950,61989,47.14
61950,61990,357.27
61950,62002,583.69
61950,62011,60.73
61950,62013,7.86
61950,62015,51.74
61950,62017,661.81
61950,62018,568.51
61950,62022,562.81
61950,64018,197.95
61950,88307,63.49
61950,88308,59.37
61950,88310,63.56
61950,88315,60.01
61950,88318,212.26
61950,88320,220.38
61950,121860,64.93
61950,153941,617.86
61950,153942,629.39
61967,61968,62.15
61967,61970,45.73
61967,61972,599.9
61967,61973,370.18
61967,61974,27.52
61967,61975,632.27
61967,61976,76.14
61967,61977,618.17
61967,61978,35.31
61967,61979,43.33
61967,61980,57.74
61967,61981,63.08
61967,61982,685.2
61967,61983,117.69
61967,61984,126.61
61967,61985,600.96
61967,61986,213.13
61967,61987,603.17
61967,61988,51.65
61967,61989,664.29
61967,61990,829.59
61967,62002,53.48
61967,62011,618.46
61967,62013,618.15
61967,62015,639.63
61967,62017,45.42
61967,62018,72.17
61967,62022,94.78
61967,64018,668.97
61967,88307,663.13
61967,88308,676.53
61967,88310,662.97
61967,88315,647.08
61967,88318,679.83
61967,88320,692.7
61967,121860,650.05
61967,122225,576.17
61967,153941,24.61
61967,153942,27.64
61968,61970,20.83
61968,61972,543.05
61968,61973,313.33
61968,61974,77.9
61968,61975,575.42
61968,61976,30.58
61968,61977,561.32
61968,61978,91.48
61968,61979,43.3
61968,61980,7.01
61968,61981,21.23
61968,61982,628.35
61968,61983,57.87
61968,61984,187.47
61968,61985,544.11
61968,61986,153.3
61968,61987,546.32
61968,61988,25.7
61968,61989,607.44
61968,61990,772.74
61968,62002,23.3
61968,62011,561.61
61968,62013,561.29
61968,62015,582.78
61968,62017,106.28
61968,62018,15.15
61968,62022,34.96
61968,64018,612.12
61968,88307,606.28
61968,88308,619.68
61968,88310,606.12
61968,88315,590.23
61968,88318,622.97
61968,88320,635.85
61968,121860,593.2
61968,122225,624.2
61968,153941,56.28
61968,153942,73.86
61970,61972,554.56
61970,61973,324.84
61970,61974,60.22
61970,61975,586.93
61970,61976,19.45
61970,61977,572.83
61970,61978,75.4
61970,61979,31.13
61970,61980,16.5
61970,61981,36.85
61970,61982,639.86
61970,61983,72.35
61970,61984,169.79
61970,61985,555.62
61970,61986,167.79
61970,61987,557.83
61970,61988,8.19
61970,61989,618.95
61970,61990,784.25
61970,62002,41.48
61970,62011,573.12
61970,62013,572.81
61970,62015,594.29
61970,62017,88.6
61970,62018,31.97
61970,62022,49.44
61970,64018,623.63
61970,88307,617.8
61970,88308,631.19
61970,88310,617.63
61970,88315,601.74
61970,88318,634.49
61970,88320,647.36
61970,121860,604.71
61970,122225,604
61970,153941,37.94
61970,153942,56.18
61972,61973,230.75
61972,61974,611.05
61972,61975,53.04
61972,61976,542.3
61972,61977,32.82
61972,61978,626.24
61972,61979,581.91
61972,61980,538.97
61972,61981,554.89
61972,61982,98.24
61972,61983,570.02
61972,61985,15.8
61972,61986,444.04
61972,61987,7.16
61972,61988,553.59
61972,61989,68.29
61972,61990,353.86
61972,62002,561.32
61972,62011,66.32
61972,62013,22.14
61972,62015,67.61
61972,62017,639.44
61972,62018,546.14
61972,62022,540.44
61972,64018,194.54
61972,88307,84.64
61972,88308,80.52
61972,88310,84.71
61972,88315,75.88
61972,88318,208.85
61972,88320,216.97
61972,121860,80.8
61972,153941,595.49
61972,153942,607.02
61973,61974,382.46
61973,61975,263.36
61973,61976,313.71
61973,61977,249.26
61973,61978,397.64
61973,61979,353.32
61973,61980,310.37
61973,61981,326.29
61973,61982,316.29
61973,61983,341.43
61973,61984,492.03
61973,61985,232.05
61973,61986,312.57
61973,61987,234.26
61973,61988,325
61973,61989,295.38
61973,61990,460.68
61973,62002,332.73
61973,62011,249.55
61973,62013,249.23
61973,62015,270.72
61973,62017,410.84
61973,62018,317.55
61973,62022,311.85
61973,64018,300.06
61973,88307,294.22
61973,88308,307.62
61973,88310,294.06
61973,88315,278.17
61973,88318,310.91
61973,88320,323.79
61973,121860,281.14
61973,153941,366.9
61973,153942,378.42
61974,61975,646.68
61974,61976,94.57
61974,61977,632.58
61974,61978,34.46
61974,61979,35.37
61974,61980,72.15
61974,61981,66.67
61974,61982,699.61
61974,61983,125.43
61974,61984,114.43
61974,61985,615.37
61974,61986,220.87
61974,61987,617.58
61974,61988,66.06
61974,61989,678.7
61974,62002,54.6
