source,target,cost
42,39655,392.01
42,64847,315.95
42,44840,180.62
42,75846,339.13
42,53627,59.20
42,36306,35.85
42,62603,385.19
42,51876,241.36
42,53761,366.35
42,897,241.32
42,65769,19.26
42,34315,393.96
42,64707,166.90
42,44841,322.24
42,51479,274.36
42,64019,335.97
42,36304,24.07
42,81768,463.62
42,65436,256.11
42,52202,166.44
42,60213,14.09
42,47236,447.87
42,28133,320.91
42,47295,265.58
42,64203,397.34
42,65417,192.99
42,64207,187.35
42,48005,325.09
42,49282,371.59
42,33716,17.56
42,52686,17.61
42,51621,254.36
42,53619,310.62
42,36303,7.96
42,64229,30.15
42,86009,416.60
42,62538,415.25
42,49545,399.53
42,61864,279.10
42,44846,430.37
42,87011,717.79
42,62910,622.21
42,64208,624.02
42,51875,512.09
42,62907,703.47
42,69128,639.93
42,39189,702.51
42,52994,591.61
42,91913,593.43
42,53760,623.47
42,61682,662.26
42,88505,572.72
42,48488,667.05
42,48006,624.23
42,53753,769.60
42,42090,510.58
42,907,662.66
42,1215,610.70
42,64516,610.80
42,66737,639.27
42,65766,702.71
42,50048,515.00
72,46195,701.81
72,768,751.14
72,78148,686.49
72,12783,625.29
72,743,573.17
72,46194,684.78
72,53642,679.93
72,53629,543.59
72,22719,702.74
72,43651,695.06
72,60257,657.97
72,47292,625.27
72,64213,764.58
72,66683,730.16
72,47293,514.33
72,52499,44.90
72,60261,408.32
72,52500,346.56
72,86108,353.55
72,60119,23.55
72,30622,251.07
72,36549,426.58
72,68027,296.98
72,47301,82.38
72,51035,7.52
72,61388,293.17
72,62454,476.68
72,36622,416.46
72,38487,400.92
72,65552,438.49
72,63757,247.27
72,68600,315.64
72,61167,408.55
72,62106,326.55
72,35316,244.16
72,69824,286.18
72,456,391.22
72,41450,382.54
72,68443,186.01
72,49286,35.11
72,50055,47.74
72,52503,324.60
72,53641,61.91
72,42584,363.03
72,60260,431.97
72,85912,26.68
72,65522,298.39
72,53775,29.48
73,743,382.22
73,477,441.96
73,61853,519.92
73,40878,155.37
73,61118,459.64
73,12786,211.17
73,52497,507.30
73,63276,492.03
73,36591,306.89
73,78255,338.44
73,46198,357.98
73,44752,303.55
73,47291,313.24
73,63278,470.67
73,1264,171.26
73,20916,336.49
73,41449,475.32
73,75900,339.22
73,36589,375.77
73,63665,343.94
73,20918,435.74
73,87827,357.17
73,88383,537.83
73,52502,463.50
73,60117,577.77
73,47992,191.56
73,62065,311.22
73,64938,281.76
73,52501,271.71
73,61167,504.81
73,69156,299.64
73,20917,317.13
73,46193,303.28
73,43651,310.12
73,97026,197.83
73,75638,309.65
73,36777,323.94
73,52211,469.34
73,62106,445.16
73,47292,376.55
73,25880,382.04
73,62313,316.91
73,60260,490.20
73,1215,471.65
73,60087,539.78
73,36549,413.09
73,35418,326.78
73,64208,454.08
73,12784,269.92
73,7108,174.56
73,22720,303.22
73,434,571.34
73,61168,457.81
73,42594,307.95
73,69158,318.19
73,46191,307.59
73,38487,461.01
73,63602,181.53
73,20920,259.01
73,767,347.38
73,65552,405.00
73,78148,429.52
73,62066,208.28
73,67073,188.75
73,61707,176.18
73,35419,286.40
73,100443,469.48
73,46194,317.54
73,50268,313.87
73,64212,388.67
73,79955,211.28
73,105518,138.53
73,36592,298.72
73,52496,468.18
73,53754,419.14
73,62907,389.19
73,42591,286.92
73,22718,196.81
73,63576,485.36
73,105517,192.80
73,69157,312.07
73,22719,505.51
73,49286,867.56
73,52498,835.95
73,53775,821.19
73,72,836.18
73,67830,695.21
73,62445,626.59
73,153707,646.47
73,69204,744.76
73,61169,785.86
73,63681,606.60
73,60426,700.35
73,50047,565.33
73,53760,672.82
73,51035,839.55
73,296,849.50
73,62454,553.55
73,68443,663.78
73,60113,593.12
73,440,655.47
73,62381,662.93
73,48496,474.20
73,85912,851.26
73,47994,521.69
73,52214,611.14
73,60119,837.77
73,60836,757.99
73,47301,754.65
73,65699,658.94
73,52499,866.50
73,61871,500.45
73,60257,553.61
73,41450,606.10
73,50052,722.12
81,53005,679.65
81,53006,563.67
81,43630,655.74
81,48008,549.21
81,69829,605.25
81,88600,621.36
81,65538,702.59
81,62618,604.48
81,79267,657.87
81,75845,509.52
81,50649,586.78
81,64057,615.36
81,156339,588.41
81,117871,507.48
81,64964,733.22
81,39060,502.54
81,75843,645.32
81,64522,582.28
81,42091,523.58
81,67844,659.99
81,89911,537.68
81,151892,717.44
81,88077,715.13
81,787,510.14
81,132,336.52
81,448,389.66
81,87707,40.95
81,44844,382.72
81,125,348.37
81,98712,509.82
81,52687,93.86
81,91696,171.65
81,703,277.31
81,42092,505.10
81,30355,43.32
81,50050,468.71
81,129,329.66
81,449,363.98
81,77158,336.39
81,48910,463.26
81,51610,315.46
81,63674,341.91
81,53633,500.99
81,71421,400.48
81,7119,164.52
81,61897,397.05
81,53766,474.68
81,36300,233.28
81,70126,78.69
81,87706,112.99
81,77159,447.33
81,43699,168.45
81,108,349.71
81,18893,28.97
81,35055,351.03
81,36310,372.29
84,7119,164.48
84,65392,326.11
84,53633,500.95
84,449,363.94
84,112,356.12
84,60682,422.15
84,81,5.98
84,62443,226.74
84,60271,357.48
84,36300,233.24
84,132,336.48
84,30355,43.11
84,70126,78.65
84,77158,336.35
84,18898,441.12
84,36310,372.25
84,87706,107.10
84,20905,65.78
84,63674,341.87
84,44844,382.68
84,18893,23.08
84,52688,108.50
84,18892,44.16
84,36296,170.01
84,87707,40.91
84,108,349.67
84,703,277.27
84,60684,436.83
84,51610,315.42
84,91696,171.62
84,48910,463.22
84,53766,474.64
84,129,329.62
84,60265,461.38
84,67844,659.95
84,69829,605.21
84,43630,655.70
84,89911,537.64
84,117871,507.44
84,79267,657.83
84,48905,666.30
84,75845,509.48
84,60157,727.92
84,1130,717.77
84,50051,517.94
84,39060,502.50
84,75843,645.28
84,63627,644.88
84,64965,716.93
84,156339,588.37
84,35317,735.61
84,42091,523.54
84,47288,555.72
84,65538,702.55
108,62451,752.10
108,63628,751.15
108,104492,538.81
108,53321,715.93
108,89738,568.84
108,61387,695.93
108,41679,751.15
108,85517,631.08
108,75801,563.84
108,51882,501.30
108,66833,782.93
108,70105,614.35
108,62471,652.81
108,67029,668.22
108,41675,718.86
108,48908,524.32
108,53009,658.84
108,98522,637.63
108,71062,735.76
108,117015,647.32
108,1108,577.29
108,36311,611.14
108,41174,520.93
108,43071,617.99
108,87011,672.03
108,98710,649.01
108,42093,648.33
108,89911,195.40
108,51610,52.68
108,7119,213.33
108,75845,420.27
108,64965,374.69
108,43630,313.46
108,41176,506.06
108,50049,156.06
108,65538,385.13
108,125,7.85
108,61897,33.91
108,98712,151.59
108,50649,308.96
108,79267,312.73
108,65547,170.53
108,53766,138.63
108,47288,213.47
108,87706,434.72
108,151892,399.99
108,75843,557.49
108,71421,78.31
108,87707,314.21
108,63674,9.12
108,52687,332.28
108,129,25.41
108,35055,490.21
108,124,11.20
108,61681,214.85
108,35318,92.08
108,48911,178.18
108,112,11.54
108,64522,237.35
108,64204,217.23
108,53633,289.14
108,60841,213.61
108,91696,207.82
108,77159,125.15
108,117871,165.20
108,42092,424.38
108,43699,183.26
108,70126,281.57
108,448,67.48
108,88600,279.08
108,41356,375.19
108,18900,29.03
108,132,15.55
108,48910,120.96
108,60682,79.89
108,49302,407.50
108,35309,201.16
108,64057,270.22
108,62443,127.93
108,88077,372.85
108,36309,201.00
108,60271,35.35
112,87707,319.62
112,42091,185.61
112,50050,130.71
112,61681,214.90
112,1130,379.84
112,79267,317.01
112,64057,274.50
112,63674,23.33
112,79266,529.31
112,62618,251.87
112,20905,348.41
112,60265,123.42
112,117871,169.51
112,35318,95.23
112,18892,361.14
112,62908,237.42
112,62443,133.34
112,48905,328.36
112,47288,217.78
112,61897,42.92
112,65392,325.74
112,48910,125.26
112,787,172.14
112,50649,309.01
112,70126,286.98
112,43699,188.67
112,60682,82.44
112,448,72.11
112,65547,174.84
112,77159,124.50
112,41356,380.60
112,50049,160.36
112,449,48.19
112,75845,420.32
112,81,354.41
112,77158,34.08
112,51610,64.20
112,60685,132.71
112,65538,385.18
112,67844,341.96
112,64965,378.99
112,53006,363.16
112,42092,424.43
112,35309,203.71
112,60271,39.03
112,64694,643.36
112,79934,594.44
112,48908,524.36
112,52689,661.01
112,61194,645.92
112,68219,830.81
112,75666,655.01
112,35055,509.11
112,98522,637.67
112,87011,676.34
112,41679,751.19
112,117015,679.90
112,42093,648.37
112,86992,704.35
112,41174,520.98
112,62451,752.14
112,64027,579.21
112,41176,506.10
112,61387,695.97
112,68608,644.56
112,104492,538.85
112,81857,571.03
112,35317,647.85
112,98710,649.06
112,47996,677.24
112,105075,694.19
112,70105,649.45
112,1110,618.13
112,53324,534.46
124,35317,638.29
124,53324,524.89
124,64027,542.35
124,71062,726.24
124,1110,609.58
124,85517,629.31
124,105075,684.62
124,67029,658.70
124,75666,618.15
124,41675,709.34
124,62471,643.29
124,64694,633.80
124,98522,628.11
124,68608,634.99
124,68219,822.26
124,51882,491.77
124,75801,562.07
124,36311,609.37
124,42093,638.81
124,98710,639.49
124,67057,629.95
124,117015,637.80
124,48908,514.79
124,104492,529.28
124,66833,773.41
124,70126,278.34
124,87707,310.98
124,64964,386.70
124,91696,216.90
124,448,73.31
124,60271,41.17
124,61897,32.25
124,64522,235.58
124,79267,308.49
124,155590,225.39
124,69829,258.73
124,81,345.77
124,61681,205.33
124,62618,243.35
124,84,347.06
124,66465,461.69
124,112,19.32
124,51610,48.12
124,703,249.12
124,65392,301.44
124,36310,25.77
124,67844,300.00
124,41174,511.41
124,64965,370.45
124,35309,196.94
124,67118,300.54
124,52495,311.38
124,49302,403.26
124,65418,123.11
124,42091,177.06
124,77158,17.64
124,117871,160.96
124,60684,90.35
124,50050,122.19
124,63627,298.40
124,35055,484.81
124,75845,410.75
124,36309,196.79
124,48910,116.74
124,64204,207.71
124,18900,34.86
124,77159,130.97
124,47288,209.24
124,89911,191.16
124,132,21.64
124,64057,265.98
124,60265,114.90
124,449,47.63
124,65547,166.29
124,787,163.62
124,36779,76.39
124,36296,206.16
124,18893,335.19
124,65538,375.61
125,53633,279.90
125,36300,119.50
125,67844,297.54
125,60685,125.94
125,18898,123.48
125,65418,120.65
125,35309,196.94
125,69829,258.74
125,36310,23.28
125,63674,13.89
125,77159,129.65
125,50050,122.22
125,49302,403.28
125,60684,90.37
125,53005,352.96
125,61681,205.62
125,18893,335.70
125,64522,233.13
125,18892,353.00
125,66465,461.98
125,53766,129.40
125,62908,228.15
125,61897,29.69
125,50649,299.73
125,71421,82.80
125,43630,309.24
125,60841,211.15
