Station Name,Street Address,City,ZIP,Latitude,Longitude,ID
PS Energy - Atlanta,340 Whitehall St,Atlanta,30303,33.745843,-84.398837,42
Clean Energy - Texas Department of Transportation,7721A Washington St,Houston,77007,29.779918,-95.435385,72
Arkansas Oklahoma Gas Corp,2100 S Waldron Rd,Fort Smith,72903,35.362213,-94.375338,73
Clean Energy - Logan International Airport,1000 Cottage St Ext,East Boston,2128,42.37470555,-71.02654861,81
Clean Energy - Everett - National Grid,12 Rover St,Everett,2149,42.393167,-71.064352,84
Clean Energy - Greenpoint - National Grid,287 Maspeth Ave,Brooklyn,11211,40.718037,-73.932309,108
Clean Energy - Canarsie - National Grid,8424 Ditmas Ave,Brooklyn,11236,40.64554,-73.918344,112
Con Edison - W 29th St Service Center,281 11th Ave,New York,10001,40.752903,-74.005831,124
Con Edison - E 16th St Service Center,700 E 16th St,New York,10009,40.729175,-73.97331,125
Con Edison - Van Nest Service Center,1615 Bronxdale Ave,Bronx,10462,40.8441883,-73.8615724,129
Con Edison - College Point Service Center,124-15 31st Ave,Queens,11354,40.769623,-73.843069,132
CNG Source Fueling - Greene's Auto & Truck Service,111 W Raymond St,Indianapolis,46225,39.736169,-86.161743,147
Black Hills Energy,1301 W 24th St,Cheyenne,82001,41.135848,-104.830233,215
Sparq - Baton Rouge,8968 S Choctaw Dr,Baton Rouge,70815,30.471166,-91.087975,296
Clean Energy - City of Santa Fe - Santa Fe Trails Transit,2931 Rufina St,Santa Fe,87507,35.65758,-105.993406,360
Kansas Gas Service,11401 W 89th St,Overland Park,66214,38.966292,-94.715917,372
Kansas Gas Service,200 E 1st Ave,Topeka,66603,39.058754,-95.667854,434
Laclede Gas Co - Shrewsbury Facility,4118 Shrewsbury Ave,St. Louis,63119,38.598601,-90.323574,440
Clean Energy - Brentwood - National Grid,1650 Islip Ave,Brentwood,11717,40.785664,-73.219818,448
Clean Energy - Hicksville - National Grid,175 E Old Country Rd,Hicksville,11801,40.766799,-73.509603,449
Clean Energy - City of Irving,128 N Briery Rd,Irving,75061,32.817883,-96.988716,453
Clean Energy - Downtown Dallas,801 S Riverfront Blvd,Dallas,75207,32.76662,-96.807086,456
Clean Energy - Garland Independent School District,3526 Security St,Garland,75042,32.89683,-96.68401,477
