source,target,cost
21829,21796,499.50214
21829,21831,756.42596
21829,21832,572.74561
21829,21869,398.16956
21829,25612,414.29724
21829,27339,425.91379
21829,29436,383.66367
21829,30111,414.93726
21829,30120,439.71878
21829,30127,417.50726
21829,30131,397.45499
21829,30136,2603.3748
21829,30376,2746.8376
21829,33058,2933.0762
21829,33059,1943.2881
21829,33060,2848.3274
21829,33062,2306.7361
21829,33063,2050.5217
21829,33064,2299.3499
21829,33066,2314.4741
21829,33472,380.76062
21829,33474,398.16956
21829,33475,304.8912
21829,33476,3023.6316
21829,33477,2343.999
21829,33478,2765.0046
21829,33577,2844.5754
21829,33578,2853.9048
21829,33579,2636.5249
21829,33581,389.76303
21829,33582,466.43152
21829,33585,376.29794
21829,33870,2840.8833
21829,33980,2680.6934
21829,34814,2846.2476
21829,35021,1166.6216
21829,35024,2640.5447
21829,35338,2863.6106
21829,35589,1768.8916
21829,35903,2632.2537
21829,41133,419.95047
21829,41134,396.97467
21829,41135,2917.9639
21829,41136,2624.606
21829,48407,76.21302
21829,48408,2308.7549
21829,48409,404.37271
21829,48410,710.17981
21829,48411,428.87399
21831,21796,257.73041
21831,21829,762.69312
21831,21832,301.80423
21831,21869,380.2424
21831,25612,346.922
21831,27339,359.69116
21831,29436,384.8685
21831,30111,340.48584
21831,30120,324.84033
21831,30127,361.40677
21831,30131,379.5278
21831,30136,2198.6226
21831,30376,2299.9172
21831,33058,2542.6582
21831,33059,1357.8783
21831,33060,2442.8784
21831,33062,1981.3066
21831,33063,1759.5835
21831,33064,1990.7446
21831,33066,1988.5494
21831,33472,384.39813
21831,33474,380.2424
21831,33475,1023.6391
21831,33476,2655.4053
21831,33477,1876.3422
21831,33478,2316.0808
21831,33577,2476.3523
21831,33578,2485.6797
21831,33579,2268.293
21831,33581,385.19907
21831,33582,364.12091
21831,33585,381.46896
21831,33870,2432.2761
21831,33980,2057.9119
21831,34814,2439.1011
21831,35021,828.26703
21831,35024,2272.3135
21831,35338,2455.0032
21831,35589,1012.5446
21831,35903,2264.0217
21831,41133,365.0654
21831,41134,379.306
21831,41135,2513.5488
21831,41136,2001.8225
21831,48407,743.55182
21831,48408,2000.1498
21831,48409,383.70468
21831,48410,1460.9762
21831,48411,363.24417
21832,21796,248.55026
21832,21829,575.68347
21832,21831,308.03226
21832,21869,292.45074
21832,25612,256.82321
21832,27339,276.9581
21832,29436,292.23016
21832,30111,250.38579
21832,30120,249.1331
21832,30127,276.25534
21832,30131,291.73618
21832,30136,2303.7603
21832,30376,2420.3569
21832,33058,2633.4553
21832,33059,1519.692
21832,33060,2548.7078
21832,33062,2007.1216
21832,33063,1750.9072
21832,33064,1999.7354
21832,33066,2014.8595
21832,33472,291.75916
21832,33474,292.45074
21832,33475,774.11951
21832,33476,2724.0247
21832,33477,2009.1708
21832,33478,2448.9094
21832,33577,2544.9685
21832,33578,2554.2964
21832,33579,2336.9092
21832,33581,292.51538
21832,33582,316.78799
21832,33585,279.44235
21832,33870,2541.2639
21832,33980,2179.9646
21832,34814,2546.6274
21832,35021,758.16083
21832,35024,2340.9302
21832,35338,2563.9912
21832,35589,1267.2968
21832,35903,2332.6379
21832,41133,282.33173
21832,41134,291.51434
21832,41135,2618.3418
21832,41136,2123.8752
21832,48407,565.14252
21832,48408,2009.1404
21832,48409,295.91364
21832,48410,1155.1367
21832,48411,280.51111
21869,21796,122.87611
21869,21829,404.86423
21869,21831,379.80185
21869,21832,291.35031
21869,25612,38.126083
21869,27339,33.724289
21869,29436,19.04875
21869,30111,46.415791
21869,30120,56.973507
21869,30127,30.180611
21869,30131,1.307986
21869,30136,2582.1353
21869,30376,2681.0642
21869,33058,2911.8364
21869,33059,1739.0248
21869,33060,2827.0872
21869,33062,2285.4963
21869,33063,2029.2821
21869,33064,2278.1101
21869,33066,2293.2344
21869,33472,18.597633
21869,33474,0
21869,33475,665.81018
21869,33476,3002.3921
21869,33477,2257.4893
21869,33478,2697.2273
21869,33577,2823.3352
21869,33578,2832.665
21869,33579,2615.2847
21869,33581,9.8984404
21869,33582,78.031151
21869,33585,27.866625
21869,33870,2819.6436
21869,33980,2437.6365
21869,34814,2825.0081
21869,35021,1036.5394
21869,35024,2619.3049
21869,35338,2842.3708
21869,35589,1392.27
21869,35903,2611.0127
21869,41133,27.760992
21869,41134,1.465814
21869,41135,2896.7241
21869,41136,2381.5466
21869,48407,385.72412
21869,48408,2287.5151
21869,48409,4.5621061
21869,48410,1103.1492
21869,48411,36.684502
25612,21796,89.837822
25612,21829,420.60043
25612,21831,346.76355
25612,21832,256.82071
25612,21869,39.378143
25612,27339,29.874895
25612,29436,39.112198
25612,30111,7.5732698
25612,30120,32.334282
25612,30127,22.123915
25612,30131,38.663567
25612,30136,2547.6067
25612,30376,2646.5378
25612,33058,2877.3081
25612,33059,1704.4952
25612,33060,2792.5593
25612,33062,2250.968
25612,33063,1994.7538
25612,33064,2243.5818
25612,33066,2258.7061
25612,33472,38.641819
25612,33474,39.378143
25612,33475,681.54584
25612,33476,2967.863
25612,33477,2222.9597
25612,33478,2662.6978
25612,33577,2788.8069
25612,33578,2798.1362
25612,33579,2580.7556
25612,33581,39.44339
25612,33582,71.258827
25612,33585,36.307327
25612,33870,2785.116
25612,33980,2404.5977
25612,34814,2790.4802
25612,35021,1002.0104
25612,35024,2584.7766
25612,35338,2807.8433
25612,35589,1359.2311
25612,35903,2576.4844
25612,41133,27.581415
25612,41134,38.441738
25612,41135,2862.1958
25612,41136,2348.5083
25612,48407,401.45972
25612,48408,2252.9868
25612,48409,42.840424
25612,48410,1118.8842
25612,48411,34.077229
27339,21796,102.41996
27339,21829,433.44354
27339,21831,359.34567
27339,21832,276.70956
27339,21869,34.302166
27339,25612,29.467278
27339,29436,50.248409
27339,30111,35.228008
27339,30120,36.517353
27339,30127,9.8176622
27339,30131,33.587589
27339,30136,2567.4944
27339,30376,2666.4241
27339,33058,2897.1963
27339,33059,1724.384
27339,33060,2812.447
27339,33062,2270.8557
27339,33063,2014.6414
27339,33064,2263.4695
27339,33066,2278.5935
27339,33472,49.797916
27339,33474,34.302166
27339,33475,694.38892
27339,33476,2987.7512
27339,33477,2242.8486
27339,33478,2682.5867
27339,33577,2808.6946
27339,33578,2818.0244
27339,33579,2600.6433
27339,33581,41.098721
27339,33582,47.32983
27339,33585,51.942265
27339,33870,2805.0034
27339,33980,2417.1812
27339,34814,2810.3679
27339,35021,1021.8987
27339,35024,2604.6643
27339,35338,2827.7307
27339,35589,1371.8132
27339,35903,2596.3721
27339,41133,8.049861
27339,41134,33.365761
27339,41135,2882.084
27339,41136,2361.0911
27339,48407,414.30286
27339,48408,2272.8745
27339,48409,33.459587
27339,48410,1131.7279
27339,48411,4.0768151
29436,21796,127.93656
29436,21829,390.23962
29436,21831,384.86227
29436,21832,292.35629
29436,21869,18.781561
29436,25612,39.097904
29436,27339,49.545639
29436,30111,45.672012
29436,30120,70.433022
29436,30127,46.001961
29436,30131,18.066982
29436,30136,2583.1411
29436,30376,2682.0703
29436,33058,2912.8425
29436,33059,1740.0308
29436,33060,2828.093
29436,33062,2286.5024
29436,33063,2030.2881
29436,33064,2279.1162
29436,33066,2294.2402
29436,33472,2.287267
29436,33474,18.781561
29436,33475,651.18561
29436,33476,3003.3987
29436,33477,2258.4954
29436,33478,2698.2334
29436,33577,2824.3418
29436,33578,2833.6716
29436,33579,2616.2908
29436,33581,10.37441
29436,33582,93.852493
29436,33585,21.974163
29436,33870,2820.6489
29436,33980,2442.6963
29436,34814,2826.0134
29436,35021,1037.5454
29436,35024,2620.311
29436,35338,2843.3762
29436,35589,1397.3304
29436,35903,2612.0188
29436,41133,43.582962
29436,41134,17.586042
29436,41135,2897.7302
29436,41136,2386.6072
29436,48407,371.09955
29436,48408,2288.5212
29436,48409,24.984085
29436,48410,1088.5239
29436,48411,52.505852
30111,21796,83.445152
30111,21829,421.28021
30111,21831,340.37088
30111,21832,250.42804
30111,21869,45.965298
30111,25612,7.7540889
30111,27339,34.079716
30111,29436,45.699352
30111,30120,23.075855
30111,30127,27.186224
30111,30131,45.250721
30111,30136,2541.2141
30111,30376,2640.1445
30111,33058,2870.9155
30111,33059,1698.1019
30111,33060,2786.166
30111,33062,2244.5754
30111,33063,1988.3611
30111,33064,2237.1892
30111,33066,2252.3132
30111,33472,45.228973
30111,33474,45.965298
30111,33475,682.22559
30111,33476,2961.4717
30111,33477,2216.5664
30111,33478,2656.3057
30111,33577,2782.4155
30111,33578,2791.7446
30111,33579,2574.363
30111,33581,46.03054
30111,33582,73.910217
30111,33585,40.056061
30111,33870,2778.7219
30111,33980,2398.2056
30111,34814,2784.0864
30111,35021,995.6178
30111,35024,2578.384
30111,35338,2801.4492
30111,35589,1352.8384
30111,35903,2570.0918
30111,41133,32.643726
30111,41134,45.028893
30111,41135,2855.803
30111,41136,2342.1162
30111,48407,402.1395
30111,48408,2246.5942
30111,48409,49.427578
30111,48410,1119.5638
30111,48411,39.139538
30120,21796,67.236069
30120,21829,446.104
30120,21831,324.1618
30120,21832,248.35826
30120,21869,57.354408
30120,25612,32.508266
30120,27339,36.802563
30120,29436,70.453529
30120,30111,23.184595
30120,30127,38.517548
30120,30131,56.639832
30120,30136,2539.1443
30120,30376,2638.0747
30120,33058,2868.8457
30120,33059,1696.0321
30120,33060,2784.0962
30120,33062,2242.5056
30120,33063,1986.2913
30120,33064,2235.1194
30120,33066,2250.2434
30120,33472,69.983154
30120,33474,57.354408
30120,33475,707.04999
30120,33476,2959.4019
30120,33477,2214.4966
30120,33478,2654.2358
30120,33577,2780.3457
30120,33578,2789.675
30120,33579,2572.2932
30120,33581,62.439087
30120,33582,76.633064
30120,33585,64.880455
30120,33870,2776.6523
30120,33980,2381.9971
30120,34814,2782.0166
30120,35021,993.54797
30120,35024,2576.3142
30120,35338,2799.3794
30120,35589,1336.6287
30120,35903,2568.022
30120,41133,42.176178
30120,41134,56.417999
30120,41135,2853.7334
30120,41136,2325.908
30120,48407,426.9639
30120,48408,2244.5244
30120,48409,60.816689
30120,48410,1144.3889
30120,48411,40.35556
30127,21796,104.0815
30127,21829,425.13211
30127,21831,361.00723
30127,21832,277.35391
30127,21869,29.605221
30127,25612,22.655188
30127,27339,8.3245068
30127,29436,45.552086
30127,30111,28.106474
30127,30120,38.178898
30127,30131,28.890644
30127,30136,2568.1394
30127,30376,2667.0691
30127,33058,2897.8413
30127,33059,1725.0284
30127,33060,2813.0918
30127,33062,2271.5005
30127,33063,2015.2864
30127,33064,2264.1143
30127,33066,2279.2385
30127,33472,45.100971
30127,33474,29.605221
30127,33475,686.07745
30127,33476,2988.3955
30127,33477,2243.4929
30127,33478,2683.231
30127,33577,2809.3394
30127,33578,2818.6687
30127,33579,2601.2883
30127,33581,36.402397
30127,33582,52.638824
30127,33585,43.63081
30127,33870,2805.6484
30127,33980,2418.8425
30127,34814,2811.0127
30127,35021,1022.5436
30127,35024,2605.3091
30127,35338,2828.3757
30127,35589,1373.4747
30127,35903,2597.0171
30127,41133,6.323071
30127,41134,28.668816
30127,41135,2882.729
30127,41136,2362.7527
30127,48407,405.99139
30127,48408,2273.5195
30127,48409,28.763264
30127,48410,1123.4158
30127,48411,11.284719
30131,21796,122.16154
30131,21829,404.14963
30131,21831,379.08725
30131,21832,290.63571
30131,21869,1.2414989
30131,25612,37.411507
30131,27339,32.935768
30131,29436,18.334173
30131,30111,45.701218
30131,30120,56.25893
30131,30127,29.392092
