streetaddr,city,state,zip,stationpho,cardsaccep,type,psi3000,psi3100,lat,lon,id,stationnam
602 Cannon Rd,Carlsbad,CA,92008,213-244-5681,a,a,1,1,33.1336848,-117.3321232,942,SDG&E - Power Plant
124-15 31st Ave,Queens,NY,11354,718-321-4608,a,a,1,1,40.7677993,-73.8459259,132,Con Edison - College Point Service Center
315 Old Saw Mill River Rd,Valhalla,NY,10595,914-789-6723,a,a,1,1,41.083387,-73.8237879,51610,Con Edison - Eastview Service Center
14226 Valley Blvd,Fontana,CA,92335,562-493-2804,a,a,1,1,34.0708706,-117.4943464,60266,Clean Energy - Fontana Truck Stop
1113 N Swords Ave,West Peoria,IL,61604,562-493-2804,a,a,1,1,40.7020547,-89.6419613,48903,Clean Energy - Peoria Disposal Co - Public Access
1100 S Sherman St,Longmont,CO,80501,720-941-2791,a,a,1,1,40.1464137,-105.1145973,53750,City of Longmont CNG Station
32505 Harry Oliver Tr,Thousand Palms,CA,92276,760-343-3456,a,a,1,1,33.8153386,-116.3942859,1014,SunLine Transit Agency
20 Main St,Tewksbury,MA,1876,617-242-8755,a,a,1,1,42.628424,-71.2734198,18892,Alternative Vehicle Service Group - Tewksbury
3077 Cottage St,Riverside,CA,92507,213-244-5681,a,a,1,1,33.9715116,-117.371788,1016,SoCalGas - Riverside Base
1501 N Airport Rd,Weatherford,OK,73096,580-772-6076,a,a,1,1,35.5429564,-98.6587172,43353,Fast Lane Travel Plaza
300 W Bonanza Rd,Las Vegas,NV,89106,702-676-1500,a,a,1,1,36.180229,-115.143369,21718,Clean Energy - Regional Transportation Commission of Southern Nevada
2490 Lithonia Industrial Blvd,Lithonia,GA,30058,562-493-2804,a,a,1,1,33.712794,-84.125795,36305,Clean Energy - PS Energy - Lithonia
1521 S 1500 E,Naples,UT,84078,435-789-1832,a,a,1,1,40.4337484,-109.4993989,35907,Western Petroleum
83255 Highway 111,Indio,CA,92201,760-343-3456,a,a,1,1,33.714358,-116.211564,1352,SunLine Transit Agency
591 E Monticello Pike,Huntsville,TN,37756,423-663-9300,a,a,1,1,36.411596,-84.524446,44846,Natural Fuels LLC
157 N Main St,Norwich,CT,6360,860-823-4119  860-823-4159,a,a,1,1,41.5275847,-72.0641056,7119,Norwich Public Utilities
4705 Rib Mountain Dr,Wausau,WI,54401,715-843-5090,a,a,1,1,44.9142409,-89.6483779,53782,Kwik Trip #204
3921 W Lincoln Ave,Milwaukee,WI,53215,414-286-2286,a,a,1,1,43.001528,-87.964148,48916,City of Milwaukee - Lincoln Avenue - Public Access
100 Century Blvd,Nashville,TN,37214,615-947-8386,a,a,1,1,36.1441467,-86.679898,36682,Piedmont Natural Gas - Nashville - Public Access
2530 E Noble Ave,Guthrie,OK,73538,405-260-0850,a,a,1,1,35.8797456,-97.4567175,46196,Love's Country Store #218
2192 Sylvan Rd,East Point,GA,30344,562-493-2804,a,a,1,1,33.694489,-84.418012,36303,Clean Energy - PS Energy - East Point
13200 Mulberry Dr,Whittier,CA,90602,562-698-8121,a,a,1,1,33.9549164,-118.0448379,12832,Whittier Union High School District
717 S Sylvania Ave,Sturtevant,WI,53177,262-884-7500  800-920-1166,a,a,1,1,42.7252563,-87.9557308,32724,Trillium HD - Highland Petro
2021 Lapeer Ave,Port Huron,MI,48060,810-987-7373 x300,a,a,1,1,42.977513,-82.4484528,27653,Bluewater Area Transit
540 W Grenshaw,Chicago,IL,60607,562-493-2804  866-809-4869  312-362-9176,a,a,1,1,41.868414,-87.641917,47275,Clean Energy - Yellow Cab
1737 State Route 228,Cranberry,PA,16066,724-741-2380,a,a,1,1,40.6863885,-80.0863608,52689,Get-Go Cranberry
5347 Deerfoot Pkwy,Trussville,AL,35173,205-655-5119,a,a,1,1,33.656721,-86.574882,50235,Chevron
Route 128 N,Lexington,MA,2421,617-242-8755,a,a,1,1,42.439992,-71.257781,18893,Alternative Vehicle Service Group - Lexington
2425 Rental Car Rd,Irving,TX,75261,866-278-3674,a,a,1,1,32.85365,-97.035,36622,Clean Energy - Dallas/Forth Worth Airport Rental Car Center
250 Veterans Memorial Hwy,Hauppauge,NY,11788,866-278-3674  631-952-6222,a,a,1,1,40.822358,-73.208081,27163,Clean Energy - New York State Office of General Services
7002 S Union Ave,Tulsa,OK,74132,888-609-2410  800-664-5463,a,a,1,1,36.0626884,-96.0117144,22718,Oklahoma Natural Gas - Tulsa Service Center West
8424 Ditmas Ave,Brooklyn,NY,11236,718-270-5866,a,a,1,1,40.645196,-73.917927,112,Clean Energy - National Grid Canarsie Service Center
1471 E Elm St,Compton,CA,90221,213-244-5681,a,a,1,1,33.8997069,-118.2072814,1361,SoCalGas - Compton Base
1505 E University Ave,Lafayette,LA,70501,337-291-8533,a,a,1,1,30.20907,-92.003393,37619,Lafayette Consolidated Government - Public Access
1600 Windhoek Dr,Lincoln,NE,68512,402-437-1776,a,a,1,1,40.75954,-96.6979,48493,Black Hills Energy - Public Access
2018 S Wood Dr,Okmulgee,OK,74447,888-609-2410  800-664-5463,a,a,1,1,35.6071044,-95.9618174,1264,Oklahoma Natural Gas - Okmulgee Service Center
13130 Crossroads Pkwy S,City of Industry,CA,91746,562-908-4288  562-493-2804,a,a,1,1,34.0296817,-118.0120167,997,LA County Sanitation District
5318 L St,Omaha,NE,68117,402-505-9898,a,a,1,1,41.212819,-95.997,38059,Metropolitan Utilities District - I-80 Fuels
5979 S Howell Ave,Milwaukee,WI,53207,414-747-8779,a,a,1,1,42.935796,-87.910304,33428,Airport Clark
3701 W Reno Ave,Oklahoma City,OK,73107,405-942-4931,a,a,1,1,35.4645494,-97.5832783,44752,Reno Partners - Conoco
160 N 850 E,Lehi,UT,84043,801-389-6233,a,a,1,1,40.389808,-111.835378,49550,CNG America - Lehi
1761 Gardena Ave,Glendale,CA,91204,866-278-3674,a,a,1,1,34.123589,-118.258046,33533,Clean Energy - City of Glendale
3233 SW 89th St,Oklahoma City,OK,73159,405-686-1053,a,a,1,1,35.377633,-97.573759,46193,Love's Country Store #245
365 Mineral Springs Rd,Buffalo,NY,14210,716-827-5505,a,a,1,1,42.860116,-78.796601,35317,National Fuel - Buffalo
7711 Canoga Ave,Canoga Park,CA,91304,562-493-2804,a,a,1,1,34.210621,-118.59773,30618,Clean Energy - Canoga Park
